name,bus,control,p_nom,p_min_pu,p_max_pu,p_set,carrier,marginal_cost
Tawnaghmore generation,Tawnaghmore,PV,134.6,0.0,1.0,96.0,AC,0.0
Mulreavy generation,Mulreavy,PV,95.25,0.0,1.0,0.0,AC,0.0
Croaghonagh generation,Croaghonagh,PV,91.2,0.0,1.0,0.0,AC,0.0
Meentycat generation,Meentycat,PV,84.96,0.0,1.0,0.0,AC,0.0
Garvagh generation,Garvagh,PV,82.0,0.0,1.0,0.0,AC,0.0
Glenree generation,Glenree,PV,77.3,0.0,1.0,0.0,AC,0.0
Binbane generation,Binbane,PV,75.1,0.0,1.0,0.0,AC,0.0
Corderry generation,Corderry,PV,63.253,0.0,1.0,0.0,AC,0.0
Sorne Hill generation,Sorne Hill,PV,63.24999999999999,0.0,1.0,0.0,AC,0.0
Cathaleen's Fall generation,Cathaleen's Fall,PV,63.0,0.0,1.0,0.0,AC,0.0
Trillick generation,Trillick,PV,44.69,0.0,1.0,0.0,AC,0.0
Letterkenny generation,Letterkenny,PV,40.27,0.0,1.0,0.0,AC,0.0
Cunghill generation,Cunghill,PV,34.8,0.0,1.0,0.0,AC,0.0
Lenalea generation,Lenalea,PV,30.5,0.0,1.0,0.0,AC,0.0
Ardnagappary generation,Ardnagappary,PV,22.94,0.0,1.0,0.0,AC,0.0
Cliff generation,Cliff,PV,20.0,0.0,1.0,0.0,AC,0.0
Golagh generation,Golagh,PV,15.0,0.0,1.0,0.0,AC,0.0
Sligo generation,Sligo,PV,13.65,0.0,1.0,0.0,AC,0.0
Moy generation,Moy,PV,6.0,0.0,1.0,0.0,AC,0.0
boundary Cathaleen's Fall - CORRACLASSY 1,Cathaleen's Fall,PV,178.0,-0.002428271623175664,-0.002428271623175664,-0.4322323489252682,boundary,0.0
boundary Corderry - ARIGNA_T 1,Corderry,PV,178.0,0.005166232086367137,0.005166232086367137,0.9195893113733504,boundary,0.0
boundary Letterkenny - STRA_PST 1,Letterkenny,PV,80.0,-0.43511313340586033,-0.43511313340586033,-34.80905067246883,boundary,0.0
boundary Moy - BELLACORICK 1,Moy,PV,178.0,-0.12686643987122628,-0.12686643987122628,-22.58222629707828,boundary,0.0
boundary Sligo - FLAGFORD 1,Sligo,PV,99.0,-0.017084392699682538,-0.017084392699682538,-1.6913548772685711,boundary,0.0
boundary Srananagh 220 - FLAGFORD 1,Srananagh 220,Slack,434.0,-1.0,1.0,35.79527488440719,boundary,100.0
