name,bus,carrier,p_set
Binbane demand,Binbane,AC,7.04
Cathaleen's Fall demand,Cathaleen's Fall,AC,6.0
Trillick demand,Trillick,AC,6.29
Letterkenny demand,Letterkenny,AC,17.68
Ardnagappary demand,Ardnagappary,AC,3.0
Sligo demand,Sligo,AC,19.66
Moy demand,Moy,AC,13.53
