name,bus,carrier,p_set
Binbane demand,Binbane,AC,18.71
Cathaleen's Fall demand,Cathaleen's Fall,AC,17.04
Trillick demand,Trillick,AC,20.07
Letterkenny demand,Letterkenny,AC,66.08
Ardnagappary demand,Ardnagappary,AC,9.67
Sligo demand,Sligo,AC,54.19
Moy demand,Moy,AC,26.88
