circuit,extract_mw,full_mw,difference_mw
2801-2871-1,-1.2101471704884261,0.0,-1.2101471704884261
2871-28019-1,20.875038690925066,22.08044751336047,-1.2054088224354018
1701-28712-2,23.376392467901802,23.368816575679684,0.007575892222117631
1341-1701-1,-20.709424105815657,-20.714565427353854,0.005141321538197019
1341-5191-1,13.689424105815675,13.694565427353865,-0.0051413215381899136
3591-5191-1,-10.699424105815666,-10.704565427353856,0.0051413215381899136
3581-3591-1,-10.699424105815723,-10.704565427353856,0.00514132153813307
3581-28019-1,-22.085185861416427,-22.08044751336066,-0.0047383480557670055
1701-5041-1,-17.453032934189622,-17.45602857038159,0.0029956361919687424
5041-17010-2,19.50504681263093,19.50205117644406,0.0029956361868705983
2870-17010-1,-23.376392467901802,-23.378827038594054,0.002434570692251725
2321-3581-1,24.667599074389443,24.667196100908654,0.0004029734807886598
2321-28710-1,-24.667599074389372,-24.667196100908633,-0.0004029734807389218
4041-5241-1,-1.4530031436192685e-12,0.0,-1.4530031436192685e-12
4041-5251-2,-1.4229185793697372e-12,0.0,-1.4229185793697372e-12
4981-5041-1,2.5946967461256776,2.594696746124832,8.455458555545192e-13
4981-5041-2,2.519980347677034,2.51998034767621,8.242295734817162e-13
2870-4091-1,-2.2737367544323206e-13,0.0,-2.2737367544323206e-13
1931-4371-1,-21.190951176519945,-21.190951176519846,-9.947598300641403e-14
1931-4981-1,21.190951176519945,21.19095117651985,9.592326932761353e-14
1631-5041-1,2.8184791686749477,2.818479168674912,3.552713678800501e-14
3581-5361-1,6.270000000000053,6.2700000000000315,2.1316282072803006e-14
1571-5191-1,-2.989999999999995,-2.989999999999995,0.0
1701-1761-1,0.0,0.0,0.0
28710-51911-1,0.0,0.0,0.0
1631-2671-1,0.0,0.0,0.0
2321-4071-1,0.0,0.0,0.0
4991-5361-1,0.0,0.0,0.0
