station,machines,machines_in_service,capacity_mw,dispatched_mw,demand_mw,net_mw
Tawnaghmore,5,0,183.6,0.0,0.0,0.0
Croaghonagh,2,0,139.2,0.0,0.0,0.0
Cathaleen's Fall,4,2,100.5,40.0,5.98,34.019999999999996
Mulreavy,4,0,95.25,0.0,0.0,0.0
Binbane,18,0,93.6,0.0,7.02,-7.02
Meentycat,3,0,84.96,0.0,0.0,0.0
Garvagh,3,0,82.0,0.0,0.0,0.0
Corderry,12,0,79.60300000000001,0.0,0.0,0.0
Glenree,4,0,77.3,0.0,0.0,0.0
Sorne Hill,10,0,63.24999999999999,0.0,0.0,0.0
Golagh,2,0,63.0,0.0,0.0,0.0
Letterkenny,7,0,60.27,0.0,17.63,-17.63
Trillick,6,0,44.69,0.0,6.27,-6.27
Cunghill,3,1,34.8,0.0,0.0,0.0
Lenalea,1,0,30.5,0.0,0.0,0.0
Tievebrack,1,0,29.9,0.0,0.0,0.0
Ardnagappary,3,0,22.94,0.0,2.99,-2.99
Cliff,2,0,20.0,0.0,0.0,0.0
Sligo,3,0,17.73,0.0,19.6,-19.6
Moy,1,0,6.0,0.0,13.49,-13.49
Clogher,0,0,0.0,0.0,0.0,0.0
Drumkeen,0,0,0.0,0.0,0.0,0.0
Srananagh 110,0,0,0.0,0.0,0.0,0.0
Srananagh 220,0,0,0.0,0.0,0.0,0.0
