bus,bus_name,v_nom,parent,parent_name,x_to_parent,runner_up,runner_up_name,x_to_runner_up,attachments,margin
21831,GRANGEGEETH,10.0,2181,DRYBRIDGE,1.779,,,,1,
21834,J21,38.0,2181,DRYBRIDGE,0.41669999999999996,,,,1,
21842,RATHDRINAGH,20.0,2181,DRYBRIDGE,2.2836,,,,1,
21844,DULEEK,38.0,2181,DRYBRIDGE,0.5796,,,,1,
21854,MEATH WASTE,38.0,2181,DRYBRIDGE,0.4362,,,,1,
21864,DUNLEER,38.0,2181,DRYBRIDGE,0.7114,,,,1,
21871,W_DUNMORE,0.69,2181,DRYBRIDGE,5.7209,,,,1,
21872,W_DUNMORE,0.4,2181,DRYBRIDGE,4.9269,,,,1,
21873,WHITERIVER,0.69,2181,DRYBRIDGE,5.711500000000001,,,,1,
21874,W_BURTONSTOW,0.69,2181,DRYBRIDGE,2.20704,,,,1,
68230,MEATH_WASTE,10.0,2181,DRYBRIDGE,0.94096,,,,1,
68241,W_DUNMORE_PH,0.4,2181,DRYBRIDGE,5.306900000000001,,,,1,
68313,KNOCKHARLEY_,20.0,2181,DRYBRIDGE,2.0999,,,,1,
68314,KNOCKHARLEY_,20.0,2181,DRYBRIDGE,2.1,,,,1,
13402,BINBANE,20.0,1341,BINBANE,2.17609,,,,1,
13404,HY_BINBANE,38.0,1341,BINBANE,0.36,,,,1,
13412,BURTONPORT,20.0,1341,BINBANE,2.76,,,,1,
13414,KILLIN HILL,20.0,1341,BINBANE,1.6109999999999998,,,,1,
13415,LOUGHDERRYDU,20.0,1341,BINBANE,1.7393999999999998,,,,1,
13416,MEENACHULLAL,20.0,1341,BINBANE,1.5758999999999999,,,,1,
13417,KILLYBEGS,20.0,1341,BINBANE,3.0921,,,,1,
13422,BINBANE,20.0,1341,BINBANE,1.02593,,,,1,
13424,KILLYBEGS,38.0,1341,BINBANE,0.6920999999999999,,,,1,
13432,BINBANE,20.0,1341,BINBANE,1.3170000000000002,,,,1,
13434,HY_GLENTIES,38.0,1341,BINBANE,0.5394,,,,1,
13442,MEENADREEN,20.0,1341,BINBANE,2.7601,,,,1,
13444,CORK-KILLINT,38.0,1341,BINBANE,0.411,,,,1,
13454,CORKERMORE,38.0,1341,BINBANE,0.517,,,,1,
13464,LOUGHDERRYDU,38.0,1341,BINBANE,0.6648000000000001,,,,1,
13471,W_BURTONPORT,0.69,1341,BINBANE,10.26,,,,1,
13472,W_SHANAGH_KI,0.4,1341,BINBANE,4.17609,,,,1,
13473,W_CORKERMO,0.69,1341,BINBANE,2.126,,,,1,
13474,W_KILLIN_HIL,0.4,1341,BINBANE,2.404,,,,1,
13475,W_LOUGHDER,0.69,1341,BINBANE,2.3604,,,,1,
13476,W_MEENACHU,0.4,1341,BINBANE,2.0519,,,,1,
13477,W_KILLYBEG,0.4,1341,BINBANE,5.0921,,,,1,
