,32508-XX,54571-1,55074-1,70390-DP,71093-BR,84095-BA,84096-LR,84097-MR,90540-LH,87991-BR,87995-FR
0,0.036785435786331006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0354855912462906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.04515730749908053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.025821003309937064,0.12373531046736963,0.20717601541032757,0.004367734282210193,0.0036708848522306243,0.014080683746035223,0.014080683746035223,0.014080683746035223,0.014039106591754872,0.0036708848522306243,0.0036708848522306243
4,0.03105513239994974,0.18215863402920363,0.2289808982181062,0.020307395950197423,0.013439648579384815,0.0346697044697228,0.0346697044697228,0.0346697044697228,0.032634725612280896,0.013439648579384815,0.013439648579384815
5,0.016098089582168462,0.17810696710522628,0.21352600001885377,0.03430081232069975,0.029859726505786322,0.06180673944056609,0.06180673944056609,0.06180673944056609,0.044081295740947476,0.029859726505786322,0.029859726505786322
6,0.01604234944875354,0.30649772677201637,0.2772613258365611,0.04899841923961006,0.04954740567900227,0.11485613499588355,0.11485613499588355,0.11485613499588355,0.062321818990393484,0.04954740567900227,0.04954740567900227
7,0.019263756735155582,0.3286519800249715,0.2776835421266573,0.05877660170797577,0.059077561874897586,0.1137106248003484,0.1137106248003484,0.1137106248003484,0.086179291178159,0.059077561874897586,0.059077561874897586
8,0.01624917288894042,0.2700119122343869,0.16791025139443141,0.0742671682358494,0.06170170431544124,0.10338806071598619,0.10338806071598619,0.10338806071598619,0.14006447562397903,0.06170170431544124,0.06170170431544124
9,0.03333020816520046,0.15204220087667636,0.16185070386578518,0.024699001434608576,0.03032234214875026,0.047437383740320846,0.047437383740320846,0.047437383740320846,0.04382823994192286,0.03032234214875026,0.03032234214875026
10,0.02629478715332296,0.11038171458297398,0.09664187290327679,0.010209526739381518,0.012742713118957222,0.02585330431585132,0.02585330431585132,0.02585330431585132,0.018731604714003647,0.012742713118957222,0.012742713118957222
11,0.02204938489350554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.008425302726966493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.00645199297572961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.012594354461591342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.021052279929990304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.022789287939536877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.026904602205989163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.017646786481569473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.008208408758588883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
