name,bus,control,p_nom,p_min_pu,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated,p_set_tytfs
10271-1,1021,PV,21.0,0.23809523809523808,-7.0,1.0,hydro,1.0,10271.0,HY_ARDNG1,True,21.0
10272-2,1021,PV,22.0,0.22727272727272727,-7.0,1.0,hydro,1.0,10272.0,HY_ARDNG2,True,22.0
10273-3,1021,PV,19.0,0.2631578947368421,-7.0,1.0,hydro,1.0,10273.0,HY_ARDNG3,True,19.0
10274-4,1021,PV,24.0,0.20833333333333334,-7.0,1.0,hydro,1.0,10274.0,HY_ARDNG4,True,24.0
10470-1,10422,PV,456.69,0.4861065493004007,5.365,1.0,gas,90.0,10470.0,AGH_CCGT,True,456.0
10472-11,1052,PV,90.0,0.14444444444444443,1.192,1.0,unknown,60.0,10472.0,AGH_G11,True,90.0
10473-12,1052,PV,90.0,0.14444444444444443,1.192,1.0,unknown,60.0,10473.0,AGH_G12,True,90.0
10474-14,1062,PV,90.0,0.14444444444444443,1.192,1.0,unknown,60.0,10474.0,AGH_G14,True,90.0
12101-XX,1211,PV,100.0,0.0,-82.183,1.0,unknown,60.0,12101.0,BALLYVOUSKIL,True,0.0
13271-1,1321,PV,4.999,0.40008001600320064,-0.812,1.0,unknown,60.0,13271.0,BLAKE,True,4.0
13434-10,1341,PV,4.3,0.0,-0.873,1.0,hydro,1.0,13434.0,HY_GLENTIES,True,4.3
16873-3,1681,PV,8.0,0.25,-1.0,1.0,hydro,1.0,16873.0,HY_CDRDG3,True,8.0
17073-3,1701,PV,22.5,0.2222222222222222,-25.0,1.0,hydro,1.0,17073.0,HY_CATHG3,True,22.0
17074-4,17010,PV,23.0,0.21739130434782608,-25.0,1.0,hydro,1.0,17074.0,HY_CATHG4,True,23.0
17671-1,1761,PV,10.0,0.3,-3.0,1.0,hydro,1.0,17671.0,HY_CLIFG1,True,10.0
17672-2,1761,PV,10.0,0.3,-3.0,1.0,hydro,1.0,17672.0,HY_CLIFG2,True,10.0
19317-XX,1931,PV,6.0,0.0,0.0,1.0,unknown,60.0,19317.0,CUNG_SCOM,True,0.0
19471-1,1941,PV,122.5,0.4897959183673469,-11.2,1.0,unknown,60.0,19471.0,CUSHALING,True,122.0
20771-1,2072,PV,274.0,0.21897810218978103,-112.0,1.0,unknown,60.0,20771.0,KILSHANE,True,274.0
27361-XX,2731,PV,12.3,0.0,0.0,1.0,unknown,60.0,27361.0,GAE_SCOM,True,0.0
27474-1,2742,PV,464.5,0.5059203444564048,67.292,1.0,gas,90.0,27474.0,GI CCGT,True,464.5
28571-1,2852,PV,444.0,0.24797297297297297,-17.683,1.0,unknown,60.0,28571.0,WHITEGATE,True,444.0
29671-ST,2962,PV,123.0,0.3252032520325203,0.642,1.0,unknown,60.0,29671.0,HUNT_ST,True,123.0
29672-CT,2962,PV,229.2,0.6020942408376964,1.086,1.0,unknown,60.0,29672.0,HUNT_CT,True,229.0
29673-2,2972,PV,400.0,0.485,1.53,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,True,400.0
30671-1,3061,PV,15.0,0.26666666666666666,-4.0,1.0,hydro,1.0,30671.0,HY_INISG1,True,15.0
31271-1,3122,PV,403.9,0.4035652389205249,-35.202,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,True,403.9
32508-XX,3251,PV,10.0,0.0,0.0,1.0,wind,0.0,32508.0,W_KNOCKNAGOU,True,0.0
33361-XX,3331,PV,100.0,0.0,-93.355,1.0,unknown,60.0,33361.0,STATCOM BALL,True,0.0
38274-1,3821,PV,3.9,0.0,-0.095,1.0,unknown,60.0,38274.0,BIO_BAILLE F,True,0.468
39471-1,3934,PV,234.0,0.2564102564102564,-70.944,1.0,unknown,60.0,39471.0,MNYPG1,True,234.0
39472-2,3954,PV,234.0,0.2564102564102564,-70.944,1.0,unknown,60.0,39472.0,MNYPG2-P,True,234.0
39472-SC,3954,PV,250.0,-0.01348,-0.0,1.0,unknown,60.0,39472.0,MNYPG2-P,True,0.0
39473-3,3944,PV,234.0,0.2564102564102564,-70.944,1.0,unknown,60.0,39473.0,MNYPG3,True,234.0
42471-1,4242,PV,31.24,0.32010243277848915,-4.101,1.0,unknown,60.0,42471.0,TEG_NWALL_1-,True,31.0
42471-2,4242,PV,31.24,0.32010243277848915,-4.101,1.0,unknown,60.0,42471.0,TEG_NWALL_1-,True,31.0
42471-3,4242,PV,31.24,0.32010243277848915,-4.101,1.0,unknown,60.0,42471.0,TEG_NWALL_1-,True,31.0
42472-4,4242,PV,31.24,0.32010243277848915,0.26,1.0,unknown,60.0,42472.0,TEG_NWALL_4-,True,31.0
42472-5,4242,PV,31.24,0.32010243277848915,0.26,1.0,unknown,60.0,42472.0,TEG_NWALL_4-,True,31.0
42472-6,4242,PV,31.24,0.32010243277848915,0.26,1.0,unknown,60.0,42472.0,TEG_NWALL_4-,True,31.0
42871-1,4281,PV,8.0,0.0,-0.195,1.0,unknown,60.0,42871.0,NANGOR,True,0.96
42872-1,4281,PV,5.4,0.0,-0.132,1.0,unknown,60.0,42872.0,NANGOR,True,0.648
44471-1,4441,PV,15.0,0.3333333333333333,-4.549,1.0,hydro,1.0,44471.0,HY_POLLG1_4,True,15.0
44471-2,4441,PV,15.0,0.3333333333333333,-4.549,1.0,hydro,1.0,44471.0,HY_POLLG1_4,True,15.0
49451-1,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49451.0,TEG SHANNONB,True,38.0
49451-2,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49451.0,TEG SHANNONB,True,38.0
49452-5,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49452.0,TEG SHANNONB,True,38.0
49452-6,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49452.0,TEG SHANNONB,True,38.0
49453-3,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49453.0,TEG SHANNONB,True,38.0
49453-4,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49453.0,TEG SHANNONB,True,38.0
49454-7,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49454.0,TEG SHANNONB,True,38.0
49454-8,4941,PV,38.75,0.12903225806451613,-7.0,1.0,unknown,60.0,49454.0,TEG SHANNONB,True,38.0
50274-14,5022,PV,150.0,0.3333333333333333,-9.546,1.0,unknown,60.0,50274.0,PBEGG4,True,150.0
50275-15,5122,PV,150.0,0.3333333333333333,-11.933,1.0,unknown,60.0,50275.0,PBEGG5,True,150.0
50276-16,5222,PV,163.188,0.18383704684167954,-15.513,1.0,unknown,60.0,50276.0,PBEGG6,True,163.188
50573-3,5071,PV,81.0,0.48148148148148145,-9.361,1.0,unknown,60.0,50573.0,SEAL_ROCK,True,81.0
50574-4,5051,PV,81.0,0.48148148148148145,-9.361,1.0,unknown,60.0,50574.0,SEAL_ROCK,True,81.0
51475-1,5140,PV,48.0,0.5625,-10.0,1.0,unknown,60.0,51475.0,TEG TARB 5,True,38.0
51476-1,5140,PV,48.0,0.5625,-10.0,1.0,unknown,60.0,51476.0,TEG TARB 6,True,39.0
51771-CT,5172,PV,262.0,0.5916030534351145,-3.28,1.0,unknown,60.0,51771.0,TYNAGH,True,262.0
51772-ST,5172,PV,142.0,0.7816901408450704,-2.179,1.0,unknown,60.0,51772.0,TYNAGH,True,142.0
52071-1,5202,Slack,73.0,-1.0,-4.862,1.0,unknown,60.0,52071.0,TURLG1,True,24.018
52072-2,5202,PV,73.0,-1.0,-4.335,1.0,unknown,60.0,52072.0,TURLG2,True,24.179
52073-3,5202,PV,73.0,-1.0,-4.862,1.0,unknown,60.0,52073.0,TURLG3,True,24.018
52074-4,5202,PV,73.0,-1.0,-4.335,1.0,unknown,60.0,52074.0,TURLG4,True,24.179
53071-XX,5301,PV,30.0,0.0,-30.0,1.0,unknown,60.0,53071.0,THURLES STAT,True,0.0
54571-1,5451,PV,95.0,0.0,-16.184,1.0,solar,0.0,54571.0,PV_ROSSPILE,True,3.036
55074-1,5501,PV,7.98,0.0,-0.097,1.0,solar,0.0,55074.0,PV_BLUSHEENS,True,0.479
70390-DP,70311,PV,4.995,0.0,-0.508,1.0,solar,0.0,70390.0,PV_RENEW_AN,True,2.5
70513-A,70520,PV,157.0,0.43312101910828027,9.158,1.0,unknown,60.0,70513.0,BAFD_GA,True,157.0
70514-B,70520,PV,157.0,0.43312101910828027,9.158,1.0,unknown,60.0,70514.0,BAFD_GB,True,157.0
70515-C,70520,PV,173.0,0.27167630057803466,11.086,1.0,unknown,60.0,70515.0,BAFD_GC,True,173.0
70516-D,70510,PV,97.0,0.6701030927835051,12.601,1.0,unknown,60.0,70516.0,BAFD_GD,True,97.0
71093-BR,71011,PV,6.0,0.0,-0.508,1.0,solar,0.0,71093.0,PV_BALLYGARV,True,2.5
75508-8,75510,PV,53.0,0.1509433962264151,7.283,1.0,unknown,60.0,75508.0,COOLG8,True,53.0
75515-ST,75510,PV,165.0,0.6060606060606061,-23.398,1.0,unknown,60.0,75515.0,GEN_COOL,True,165.0
75516-GT,75520,PV,253.0,0.6324110671936759,10.773,1.0,unknown,60.0,75516.0,GEN_COOL,True,253.0
75591-G1,75510,PV,17.6,0.0,-3.574,1.0,unknown,60.0,75591.0,BIO_MAYD,True,17.6
82006-6,82020,PV,350.0,0.34285714285714286,-86.834,1.0,gas,90.0,82006.0,KIL_OCGT6,True,250.0
82007-7,82020,PV,350.0,0.34285714285714286,-86.834,1.0,gas,90.0,82007.0,KIL_OCGT7,True,250.0
84095-BA,84011,PV,16.95,0.0,-0.606,1.0,solar,0.0,84095.0,PV_BALIN ROA,True,2.985
84096-LR,84011,PV,21.2,0.0,-1.291,1.0,solar,0.0,84096.0,PV_LOUGH ROA,True,6.36
84097-MR,84011,PV,20.7,0.0,-1.261,1.0,solar,0.0,84097.0,PV_MAG ROAD,True,6.21
87991-BR,87900,PV,29.81,0.0,-1.815,1.0,solar,0.0,87991.0,PV_BANN ROAD,True,8.94
87995-FR,87900,PV,5.209,0.0,-0.508,1.0,solar,0.0,87995.0,PV_FIN ROAD,True,2.5
88539-BB,88512,PV,9.98,0.0,-1.076,1.0,unknown,60.0,88539.0,ROSE_BIO,True,5.298
90540-LH,90511,PV,9.0,0.0,-0.573,1.0,solar,0.0,90540.0,PV_LHIL,True,2.82
86221 import,86221,Slack,500.0,0.0,0.0,1.0,import,150.0,,,,
86221 export,86221,PV,500.0,0.0,0.0,-1.0,export,-0.0,,,,
GB_EWIC import,GB_EWIC,Slack,530.0,0.0,0.0,1.0,import,150.0,,,,
GB_EWIC export,GB_EWIC,PV,530.0,0.0,0.0,-1.0,export,-0.0,,,,
GB_GREENLINK import,GB_GREENLINK,Slack,530.0,0.0,0.0,1.0,import,150.0,,,,
GB_GREENLINK export,GB_GREENLINK,PV,530.0,0.0,0.0,-1.0,export,-0.0,,,,
shed 1021,1021,PQ,108.73499999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1061,1061,PQ,7.38,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1081,1081,PQ,7.68,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1091,1091,PQ,28.755000000000003,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1101,1101,PQ,21.0,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1121,1121,PQ,62.16000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1141,1141,PQ,113.565,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1201,1201,PQ,26.384999999999998,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1221,1221,PQ,33.675,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1271,1271,PQ,23.49,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1281,1281,PQ,19.65,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1301,1301,PQ,23.64,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1321,1321,PQ,39.42,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1341,1341,PQ,28.065,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1351,1351,PQ,7.89,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1361,1361,PQ,25.08,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1371,1371,PQ,22.365000000000002,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1381,1381,PQ,51.599999999999994,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1401,1401,PQ,7.89,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1411,1411,PQ,85.41,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1421,1421,PQ,93.735,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1431,1431,PQ,35.385,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1441,1441,PQ,70.185,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1451,1451,PQ,106.5,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1461,1461,PQ,47.19,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1481,1481,PQ,63.435,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1501,1501,PQ,5.925000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1522,1522,PQ,191.60999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1541,1541,PQ,11.61,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1561,1561,PQ,45.00000000000001,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1571,1571,PQ,14.504999999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1581,1581,PQ,19.815,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1621,1621,PQ,16.335,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1661,1661,PQ,44.775000000000006,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1691,1691,PQ,14.504999999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1721,1721,PQ,40.305,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1741,1741,PQ,101.535,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1781,1781,PQ,76.19999999999999,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1801,1801,PQ,22.440000000000005,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1810,1810,PQ,175.935,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1811,1811,PQ,56.88,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1821,1821,PQ,40.964999999999996,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1831,1831,PQ,30.36,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1841,1841,PQ,58.230000000000004,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1851,1851,PQ,33.3,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1861,1861,PQ,44.595,0.0,0.0,1.0,load shedding,10000.0,,,,
