name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
10-LD,3781,AC,76.21,1.87,10,F_M,True
11-LD,3781,AC,34.8,0.23,11,FMN LOOP,True
12-LD,2541,AC,50.47,0.08,12,BEDFORD ROW,True
13-LD,4651,AC,54.26,-1.08,13,M_R,True
14-LD,3081,AC,49.98,1.24,14,F_I,True
15-LD,3871,AC,57.31,-3.53,15,I_M,True
1101-I,1101,AC,14.0,6.9,1101,ANNER,False
4341-I,4341,AC,0.3,0.1,4341,OLDCOURT,False
10204-LD,1021,AC,42.0,4.83,10204,ARDNACRUSHA,True
10205-LD,1021,AC,30.49,1.08,10205,ARDNACRUSHA,True
10602-LD,1061,AC,4.92,0.03,10602,ARIGNA,True
10801-LD,1081,AC,5.12,0.09,10801,AHANE,True
10902-I,1091,AC,9.5,3.12,10902,ADAMSTOWN,True
10902-LD,1091,AC,9.67,0.97,10902,ADAMSTOWN,True
11201-LD,1121,AC,9.53,0.7,11201,ARKLOW,True
11204-LD,1121,AC,31.91,-3.09,11204,BIO_ARKLOW,True
11404-LD,1141,AC,75.71,7.84,11404,ATHLONE,True
12001-LD,1201,AC,17.59,0.0,12001,ARTANE,True
12201-LD,1221,AC,22.45,4.39,12201,ATHY,True
12702-LD,1271,AC,15.66,-0.66,12702,BALTRASNA,True
12804-LD,1281,AC,13.1,1.06,12804,HY_BALLYLICK,True
13001-LD,1301,AC,15.76,-0.15,13001,BALLYBEG,True
13204-LD,1321,AC,26.28,1.23,13204,BLAKE,True
13404-LD,1341,AC,18.71,0.14,13404,HY_BINBANE,True
13501-I,1351,AC,5.26,0.82,13501,BARODA,True
13601-I,1361,AC,5.99,1.67,13601,BALLYDINE,True
13604-LD,1361,AC,10.73,1.84,13604,BALLYDINE,True
13702-I,1371,AC,14.91,1.64,13702,BARNAGEERAGH,True
13802-LD,1381,AC,25.8,4.12,13802,BARNAHELY,True
13804-LD,1381,AC,8.6,1.37,13804,BARNAHELY,True
13812-LD,13810,AC,4.78,0.76,13812,BARNAHELY,True
14004-LD,1401,AC,5.26,-0.44,14004,BELLACORICK,True
14102-I,1411,AC,56.94,2.55,14102,AIRTON,True
14204-LD,1421,AC,62.49,17.87,14204,BLACKROCK,True
14304-LD,1431,AC,23.59,5.12,14304,BALLYRAGGET,True
14401-LD,1441,AC,12.16,1.47,14401,BANDON,True
14404-LD,1441,AC,34.63,4.88,14404,HY_BANDON,True
14502-I,1451,AC,71.0,9.5,14502,CLOGHRAN,True
14604-LD,1461,AC,31.46,2.25,14604,BARRYMORE,True
14804-LD,1481,AC,42.29,4.36,14804,BUTLERSTOWN,True
15001-I,1501,AC,3.95,0.98,15001,BRINNY,True
15202-I,1522,AC,127.74,8.09,15202,CLONEE,True
15402-LD,1541,AC,7.74,0.0,15402,BANOGE,True
15602-I,1561,AC,30.0,0.0,15602,COOLDERRIG,True
15704-LD,1571,AC,9.67,1.93,15704,ARDNAGAPPARY,True
15801-LD,1581,AC,13.21,3.82,15801,CABRA,True
16202-LD,1621,AC,10.89,0.0,16202,COOLROE,True
16604-LD,1661,AC,29.85,2.38,16604,CASTLEBAR,True
16901-LD,1691,AC,9.67,-0.49,16901,CENTRAL PARK,True
17004-LD,17010,AC,17.04,3.94,17004,HY_CATH FALL,True
17204-LD,1721,AC,26.87,3.58,17204,CAHIR,True
17404-LD,1741,AC,67.69,2.78,17404,CARRICKMINES,True
17802-I,1781,AC,50.8,24.52,17802,CASTLEFARM,True
18001-LD,1801,AC,14.96,1.16,18001,COOKSTOWN,True
18004-LD,18010,AC,60.7,17.69,18004,COOKSTOWN,True
18101-I,1810,AC,117.29,12.91,18101,DARNDALE,True
18102-I,1811,AC,37.92,2.4,18102,CLUTTERLAND,True
18204-LD,1821,AC,27.31,4.06,18204,CLOON,True
18304-LD,1831,AC,20.24,0.63,18304,SCREEB,True
18402-LD,1841,AC,12.82,0.54,18402,CRANE,True
18404-LD,1841,AC,26.0,2.95,18404,CRANE,True
18504-LD,1851,AC,22.2,0.4,18504,CHERRYWOOD,True
18604-LD,1861,AC,29.73,2.13,18604,CARRICK ON S,True
18701-LD,1871,AC,23.05,0.8,18701,COLLEGE PARK,True
18804-LD,1881,AC,21.59,3.57,18804,CHARLEVILLE,True
19004-LD,1901,AC,65.54,5.79,19004,HY_CARLOW,True
19204-LD,1921,AC,16.44,0.78,19204,COW_CROSS,True
19504-LD,1951,AC,17.02,1.46,19504,CARROWBEG,True
19601-LD,1961,AC,28.71,2.55,19601,CASTLEVIEW,True
20201-LD,2021,AC,13.44,3.9,20201,CITY WEST,True
20402-LD,2041,AC,33.41,4.22,20402,CORDUFF,True
20701-I,2072,AC,66.93,3.0,20701,CRUISERATH,True
21004-LD,2101,AC,60.05,4.16,21004,DUNDALK,True
