group_id,region,group_name,context,station,pdf_page
ROI-NW/3,ROI-NW,North West Constraint Group 3: Sligo to Flagford or Flagford 220/110 kV,outage,Garvagh,16
ROI-NW/3,ROI-NW,North West Constraint Group 3: Sligo to Flagford or Flagford 220/110 kV,outage,Tawnaghmore,16
ROI-NW/3,ROI-NW,North West Constraint Group 3: Sligo to Flagford or Flagford 220/110 kV,outage,Glenree,16
ROI-NW/3,ROI-NW,North West Constraint Group 3: Sligo to Flagford or Flagford 220/110 kV,outage,Trillick,16
ROI-NW/3,ROI-NW,North West Constraint Group 3: Sligo to Flagford or Flagford 220/110 kV,outage,Lenalea,16
ROI-NW/3,ROI-NW,North West Constraint Group 3: Sligo to Flagford or Flagford 220/110 kV,outage,Srahnakilly,16
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Ardnagappary,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Meentycat,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Binbane,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Moy,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Castlebar,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Mulreavy,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Cathaleen's Fall,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Sliabh Bawn,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Corderry,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Sligo,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Cunghill,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Sorne Hill,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Dalton,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Srahnakilly,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Garvagh,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Tawnaghmore,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Glenree,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Trillick,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,intact,Lenalea,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Ardnagappary,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Meentycat,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Binbane,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Moy,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Castlebar,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Mulreavy,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Cathaleen's Fall,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Sliabh Bawn,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Corderry,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Sligo,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Cunghill,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Sorne Hill,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Dalton,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Srahnakilly,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Garvagh,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Tawnaghmore,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Glenree,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Trillick,21
ROI-NW/4,ROI-NW,North West Constraint Group 4: Carrick-on-Shannon to Arva Flows,outage,Lenalea,21
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Ardnagappary,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Lenalea,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Binbane,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Meentycat,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Cathaleen's Fall,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Mulreavy,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Corderry,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Sliabh Bawn,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Cunghill,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Sligo,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Garvagh,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Sorne Hill,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Glenree,23
ROI-NW/5,ROI-NW,North West Constraint Group 5 (Outage Driven): Sliabh Bawn to Lanesboro,intact,Trillick,23
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Ardnagappary,24
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Mulreavy,24
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Binbane,24
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Sorne Hill,24
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Lenalea,24
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Trillick,24
ROI-NW/6,ROI-NW,North West Constraint Group 6 (Outage Driven): Binbane to Cathaleen's Fall,intact,Meentycat,24
ROI-NW/7,ROI-NW,North West Constraint Group 7 Corderry to Srananagh Flows (Retired),intact,Corderry,24
