circuit,extract_mw,full_mw,difference_mw
1701-5041-1,-13.63361316085369,-35.21976212612897,21.586148965275278
5041-17010-2,60.94625820749355,39.36010924229633,21.586148965197218
1341-1701-1,-43.59923620252982,-41.86242350599096,-1.7368126965388626
3591-5191-1,-19.51923620252984,-17.782423505991062,-1.7368126965387773
1341-5191-1,29.189236202529827,27.452423505991135,1.736812696538692
2321-3581-1,45.8335732353537,46.87874493952836,-1.0451717041746633
2321-28710-1,-45.83357323535374,-46.87874493952796,1.0451717041742228
1701-28712-2,43.552342956542475,44.42163032799951,-0.8692873714570339
2870-17010-1,-43.552342956542475,-44.41986828167447,0.867525325131993
3581-28019-1,-41.27111267773113,-41.96275367010708,0.6916409923759446
1931-4371-1,6.387899584073265,6.387899584043367,2.9897861963945616e-11
4041-4371-1,-6.387899584073271,-6.387899584043396,-2.987476932503341e-11
4981-5041-1,-18.81547282373164,-18.815472823713037,-1.8602008822199423e-11
4981-5041-2,-17.403173410812315,-17.40317341079509,-1.722355591482483e-11
1631-5041-1,17.87055584694349,17.870555846943716,-2.2737367544323206e-13
3581-5361-1,20.070000000000064,20.070000000000107,-4.263256414560601e-14
1571-5191-1,-9.670000000000016,-9.670000000000016,0.0
28710-51911-1,0.0,0.0,0.0
4991-5361-1,0.0,0.0,0.0
