name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10470-1,10470,PV,456.69,0.4861065493004007,456.0,-74.173,1.0,gas,90.0,10470.0,AGH_CCGT,False
27474-1,27474,PV,464.5,0.5059203444564048,350.0,-36.192,1.0,gas,90.0,27474.0,GI CCGT,False
28571-1,28571,PV,444.0,0.24797297297297297,444.0,-51.061,1.0,unknown,60.0,28571.0,WHITEGATE,False
29673-2,29673,PV,400.0,0.485,400.0,-170.0,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,False
31271-1,31271,PV,406.9,0.4005898255099533,199.0,-100.0,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,False
39471-1,39471,PV,234.0,0.2564102564102564,234.0,-84.008,1.0,unknown,60.0,39471.0,MNYPG1,False
39472-2,39472,PV,234.0,0.2564102564102564,234.0,-84.008,1.0,unknown,60.0,39472.0,MNYPG2-P,False
39473-3,39473,PV,234.0,0.2564102564102564,234.0,-84.008,1.0,unknown,60.0,39473.0,MNYPG3,False
51771-CT,51771,PV,262.0,0.5916030534351145,262.0,-91.0,1.0,unknown,60.0,51771.0,TYNAGH,False
52071-1,52071,Slack,73.0,-1.0,14.759,-7.059,1.0,unknown,60.0,52071.0,TURLG1,False
52072-2,52072,PV,73.0,-1.0,14.95,-6.744,1.0,unknown,60.0,52072.0,TURLG2,False
52073-3,52073,PV,73.0,-1.0,14.759,-7.059,1.0,unknown,60.0,52073.0,TURLG3,False
52074-4,52074,PV,73.0,-1.0,14.95,-6.744,1.0,unknown,60.0,52074.0,TURLG4,False
52476-1,52476,PV,52.3,0.022944550669216062,48.0,-7.0,1.0,unknown,60.0,52476.0,TAW_PEAK,False
52477-1,52477,PV,52.3,0.022944550669216062,48.0,-7.0,1.0,unknown,60.0,52477.0,TAW_PEAK,False
70516-D,70516,PV,97.0,0.6701030927835051,97.0,-14.607,1.0,unknown,60.0,70516.0,BAFD_GD,False
75515-ST,75515,PV,165.0,0.6060606060606061,165.0,-46.843,1.0,unknown,60.0,75515.0,GEN_COOL,False
75516-GT,75516,PV,254.0,0.6299212598425197,194.0,-3.635,1.0,unknown,60.0,75516.0,GEN_COOL,False
86221 import,86221,Slack,500.0,0.0,,0.0,1.0,import,150.0,,,
86221 export,86221,PV,500.0,0.0,,0.0,-1.0,export,-0.0,,,
GB_EWIC import,GB_EWIC,Slack,530.0,0.0,,0.0,1.0,import,150.0,,,
GB_EWIC export,GB_EWIC,PV,530.0,0.0,,0.0,-1.0,export,-0.0,,,
GB_GREENLINK import,GB_GREENLINK,Slack,530.0,0.0,,0.0,1.0,import,150.0,,,
GB_GREENLINK export,GB_GREENLINK,PV,530.0,0.0,,0.0,-1.0,export,-0.0,,,
