circuit,extract_mw,full_mw,difference_mw
2801-2871-1,-2.6549985941499017,6.000000000000057,-8.654998594149959
2871-28019-1,45.79872574908586,54.418280384680656,-8.619554635594795
4041-5251-2,-50.426915465089685,-50.0,-0.42691546508968514
4041-5241-1,-51.493084534923,-51.919999999999845,0.42691546507684563
3581-28019-1,-54.45372434323879,-54.41828038468051,-0.03544395855828242
2321-28710-1,-58.80387767231639,-58.8231318629158,0.019254190599411913
2321-3581-1,67.29987767231648,67.31913186291578,-0.019254190599298227
1341-1701-1,-42.28960280932263,-42.305792577283285,0.016189767960653967
3591-5191-1,-24.624602809322624,-24.640792577283264,0.016189767960639756
1341-5191-1,30.200602809322646,30.216792577283265,-0.01618976796061844
3581-3591-1,-27.674602809322778,-27.690792577283247,0.016189767960469226
1701-28712-2,41.90630100777541,41.892011579379826,0.014289428395585446
1701-5041-1,-41.61350204192665,-41.61762419894465,0.004122157017995676
5041-17010-2,46.506146434598456,46.50202427761394,0.004122156984514902
2870-17010-1,-41.90630100777541,-41.904400668208936,-0.0019003395664753953
4981-5041-1,11.069820639716276,11.069820639710372,5.9046101341664325e-12
4981-5041-2,10.751056171033355,10.751056171027642,5.7127635955112055e-12
2870-4091-1,-9.525000000000318,-9.524999999999864,-4.547473508864641e-13
1931-4371-1,-67.22511936374666,-67.22511936374636,-2.984279490192421e-13
4991-5361-1,6.324999999999818,6.325000000000017,-1.9895196601282805e-13
1631-5041-1,23.042277757199955,23.04227775719977,1.8474111129762605e-13
1931-4981-1,70.70511936374666,70.70511936374649,1.7053025658242404e-13
2321-4071-1,-8.495999999999867,-8.496,1.3322676295501878e-13
1701-1761-1,-20.000000000000114,-20.0,-1.1368683772161603e-13
28710-51911-1,-13.920000000000073,-13.919999999999959,-1.1368683772161603e-13
3581-5361-1,11.756000000000085,11.756000000000025,6.039613253960852e-14
1631-2671-1,-12.199999999999989,-12.200000000000045,5.684341886080802e-14
1571-5191-1,-8.566000000000003,-8.565999999999999,-3.552713678800501e-15
