name,bus0,bus1,x,r,s_nom,tap_ratio,phase_shift,sub_network,s_nom_source,psse_ckt
T90011-90020-90061-1-w1,star:90011-90020-90061-1,90011,-0.01512,0.0,240.0,0.9523809523809523,-0.0,0,RATE1,1
T90011-90020-90061-1-w2,star:90011-90020-90061-1,90020,0.16895999999999997,0.00432,240.0,1.0,-0.0,0,RATE1,1
T90011-90020-90062-1-w1,star:90011-90020-90062-1,90011,-0.01512,0.0,240.0,0.9523809523809523,-0.0,0,RATE1,1
T90011-90020-90062-1-w2,star:90011-90020-90062-1,90020,0.16895999999999997,0.00432,240.0,1.0,-0.0,0,RATE1,1
T90012-90020-90063-1-w1,star:90012-90020-90063-1,90012,-0.029039999999999996,0.0012000000000000005,240.0,0.9523809523809523,-0.0,0,RATE1,1
T90012-90020-90063-1-w2,star:90012-90020-90063-1,90020,0.19655999999999998,0.0012000000000000005,240.0,1.0,-0.0,0,RATE1,1
T90310-90320-90361-1-w1,star:90310-90320-90361-1,90310,-0.018840000000000023,-0.00252,240.0,0.9832841691248771,-0.0,0,RATE1,1
T90310-90320-90361-1-w2,star:90310-90320-90361-1,90320,0.17339999999999997,0.005880000000000001,240.0,1.0,-0.0,0,RATE1,1
T90310-90320-90362-1-w1,star:90310-90320-90362-1,90310,-0.018600000000000016,-0.00276,240.0,0.9832841691248771,-0.0,0,RATE1,1
T90310-90320-90362-1-w2,star:90310-90320-90362-1,90320,0.17316,0.0061200000000000004,240.0,1.0,-0.0,0,RATE1,1
