name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,coordinate_source,has_coordinates
1021,110.0,-8.6163685,52.7049873,1.03004,PQ,,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,4.1586,geocoded,True
1041,110.0,-8.227215,51.8356384,1.01103,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,14.6099,geocoded,True
1042,220.0,-8.227215,51.8356384,1.0,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,18.0255,geocoded,True
1052,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,18.0255,geocoded,True
1061,110.0,-8.0755119,54.0945702,1.05564,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-4.4872,geocoded,True
1062,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,18.0255,geocoded,True
1071,110.0,-8.5499195,53.0367354,1.04139,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,1.5194,geocoded,True
1072,220.0,-8.227215,51.8356384,1.00001,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,18.0084,geocoded,True
1081,110.0,-8.5076209,52.6617276,1.02865,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,5.0071,geocoded,True
1091,110.0,-6.4790891,53.3403233,1.02051,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-6.9464,geocoded,True
1101,110.0,-7.6492028,52.3719788,1.0002,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,4.8374,geocoded,True
1121,110.0,-6.147732,52.8151839,1.01992,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-0.9849,geocoded,True
1122,220.0,-6.147732,52.8151839,1.00706,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,0.1655,geocoded,True
1131,110.0,-9.3004089,52.43755,1.04786,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,7.906,geocoded,True
1141,110.0,-7.9745082,53.4230436,1.04332,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,-2.1101,geocoded,True
1161,110.0,-9.0514195,52.6252455,1.00786,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,3.8689,geocoded,True
1181,110.0,-7.4943716,53.9086252,1.05468,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,-7.1141,geocoded,True
1201,110.0,-6.2094672,53.382358,1.02571,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-6.0584,geocoded,True
1211,110.0,-9.0797175,52.0059847,1.06908,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,10.705,geocoded,True
1212,220.0,-9.0797175,52.0059847,1.04834,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,10.7234,geocoded,True
1221,110.0,-6.9993402,52.9934345,1.03319,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,-1.9604,geocoded,True
1231,110.0,-6.2495207,52.5378526,1.02154,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,2.1261,geocoded,True
1251,110.0,-9.240483,52.7756037,1.04486,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,4.6069,geocoded,True
1271,110.0,-6.4401389,53.5454415,1.02149,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,-7.5787,geocoded,True
1281,110.0,-9.4296621,51.7239932,1.02953,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,10.5923,geocoded,True
1301,110.0,-6.0958665,52.9909581,1.01593,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,-2.3937,geocoded,True
1311,110.0,-9.2855811,52.2145657,1.07543,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,9.8549,geocoded,True
1321,110.0,-6.8812414,53.2886399,1.02502,PQ,,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,-6.015,geocoded,True
1331,110.0,-6.5335903,53.444432,1.02594,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,-7.3062,geocoded,True
1341,110.0,-8.2634291,54.7189369,1.08137,PQ,,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-9.7823,geocoded,True
1351,110.0,-6.7752554,53.1859251,1.02769,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,-5.8071,geocoded,True
1361,110.0,-7.5207213,52.361399,1.0012,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,5.3363,geocoded,True
