name,bus,control,p_nom,p_min_pu,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated,p_set_tytfs
10470-1,10422,PV,456.69,0.4861065493004007,-74.173,1.0,gas,90.0,10470.0,AGH_CCGT,True,456.0
27474-1,2742,PV,464.5,0.5059203444564048,-36.192,1.0,gas,90.0,27474.0,GI CCGT,True,350.0
28571-1,2852,PV,444.0,0.24797297297297297,-51.061,1.0,unknown,60.0,28571.0,WHITEGATE,True,444.0
29673-2,2972,PV,400.0,0.485,-170.0,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,True,400.0
31271-1,3122,PV,406.9,0.4005898255099533,-100.0,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,True,199.0
39471-1,3934,PV,234.0,0.2564102564102564,-84.008,1.0,unknown,60.0,39471.0,MNYPG1,True,234.0
39472-2,3954,PV,234.0,0.2564102564102564,-84.008,1.0,unknown,60.0,39472.0,MNYPG2-P,True,234.0
39473-3,3944,PV,234.0,0.2564102564102564,-84.008,1.0,unknown,60.0,39473.0,MNYPG3,True,234.0
51771-CT,5172,PV,262.0,0.5916030534351145,-91.0,1.0,unknown,60.0,51771.0,TYNAGH,True,262.0
52071-1,5202,Slack,73.0,-1.0,-7.059,1.0,unknown,60.0,52071.0,TURLG1,True,14.759
52072-2,5202,PV,73.0,-1.0,-6.744,1.0,unknown,60.0,52072.0,TURLG2,True,14.95
52073-3,5202,PV,73.0,-1.0,-7.059,1.0,unknown,60.0,52073.0,TURLG3,True,14.759
52074-4,5202,PV,73.0,-1.0,-6.744,1.0,unknown,60.0,52074.0,TURLG4,True,14.95
52476-1,5241,PV,52.3,0.022944550669216062,-7.0,1.0,unknown,60.0,52476.0,TAW_PEAK,True,48.0
52477-1,5251,PV,52.3,0.022944550669216062,-7.0,1.0,unknown,60.0,52477.0,TAW_PEAK,True,48.0
70516-D,70510,PV,97.0,0.6701030927835051,-14.607,1.0,unknown,60.0,70516.0,BAFD_GD,True,97.0
75515-ST,75510,PV,165.0,0.6060606060606061,-46.843,1.0,unknown,60.0,75515.0,GEN_COOL,True,165.0
75516-GT,75520,PV,254.0,0.6299212598425197,-3.635,1.0,unknown,60.0,75516.0,GEN_COOL,True,194.0
86221 import,86221,Slack,500.0,0.0,0.0,1.0,import,150.0,,,,
86221 export,86221,PV,500.0,0.0,0.0,-1.0,export,-0.0,,,,
GB_EWIC import,GB_EWIC,Slack,530.0,0.0,0.0,1.0,import,150.0,,,,
GB_EWIC export,GB_EWIC,PV,530.0,0.0,0.0,-1.0,export,-0.0,,,,
GB_GREENLINK import,GB_GREENLINK,Slack,530.0,0.0,0.0,1.0,import,150.0,,,,
GB_GREENLINK export,GB_GREENLINK,PV,530.0,0.0,0.0,-1.0,export,-0.0,,,,
shed 1021,1021,PQ,72.35776800281766,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1061,1061,PQ,2.617706409508025,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1081,1081,PQ,3.14124769140963,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1091,1091,PQ,27.267775099041927,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1101,1101,PQ,30.53990811092696,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1121,1121,PQ,48.7765960971662,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1141,1141,PQ,56.10617404378867,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1201,1201,PQ,8.049447209237178,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1221,1221,PQ,13.699330209758665,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1271,1271,PQ,10.907110039616772,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1281,1281,PQ,11.343394441201443,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1301,1301,PQ,9.685513715179694,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1321,1321,PQ,15.40083937593888,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1341,1341,PQ,15.357210935780415,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1351,1351,PQ,11.474279761676843,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1361,1361,PQ,20.592623754796467,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1371,1371,PQ,32.52500213813721,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1381,1381,PQ,58.04763963084045,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1401,1401,PQ,4.210144475292074,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1411,1411,PQ,124.21016913115577,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1421,1421,PQ,43.912025019497115,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1431,1431,PQ,17.560447163783003,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1441,1441,PQ,40.26905026626512,0.0,0.0,1.0,load shedding,10000.0,,,,
shed 1451,1451,PQ,154.88096256255818,0.0,0.0,1.0,load shedding,10000.0,,,,
