circuit,extract_mw,full_mw,difference_mw
1701-5041-1,-13.756350926170049,-35.53946401624205,21.783113090072
5041-17010-2,61.49493209522421,39.71181900517378,21.783113090050428
1341-1701-1,-22.133048211004404,-21.052245200593916,-1.080803010410488
3591-5191-1,-12.093048211004422,-11.01224520059398,-1.0808030104104418
1341-5191-1,15.093048211004401,14.01224520059398,1.0808030104104205
2321-3581-1,24.565685421546306,25.20497446037342,-0.6392890388271155
2321-28710-1,-24.56568542154632,-25.204974460373208,0.6392890388268881
2870-17010-1,-23.3430012307323,-23.88821125348393,0.5452100227516326
1701-28712-2,23.3430012307323,23.878594218410257,-0.5355929876779584
3581-28019-1,-22.120317039918227,-22.56183101150539,0.4415139715871632
4041-4371-1,59.88777370292172,59.8877737029033,1.8417267710901797e-11
1931-4371-1,-59.88777370292171,-59.8877737029033,-1.8410162283544196e-11
4981-5041-1,20.019548396219808,20.019548396210553,9.254819133275305e-12
4981-5041-2,18.51687042943333,18.516870429424777,8.551381824872806e-12
1631-5041-1,0.9195893113733504,0.9195893113733788,-2.842170943040401e-14
3581-5361-1,6.290000000000049,6.290000000000063,-1.4210854715202004e-14
1571-5191-1,-2.999999999999993,-3.0,7.105427357601002e-15
28710-51911-1,0.0,0.0,0.0
4991-5361-1,0.0,0.0,0.0
