name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
10,38.0,,,1.01157,PQ,,0,F_M,F_M,1.0,11.0,11.0,IE,1.5133,
11,38.0,,,1.01207,PQ,,0,FMN LOOP,FMN LOOP,1.0,11.0,11.0,IE,1.7131,
12,38.0,,,1.02675,PQ,,0,BEDFORD ROW,BEDFORD ROW,1.0,11.0,11.0,IE,-0.2872,
13,38.0,,,1.01828,PQ,,0,M_R,M_R,1.0,11.0,11.0,IE,-1.0103,
14,38.0,,,1.01303,PQ,,0,F_I,F_I,1.0,11.0,11.0,IE,-0.4308,
15,38.0,,,1.01382,PQ,,0,I_M,I_M,1.0,11.0,11.0,IE,-0.2544,
1021,110.0,-8.6163685,52.7049873,1.02968,PQ,,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,7.8333,exact
1031,110.0,,,1.02506,PQ,,0,BALRUNTAGH,BALRUNTAGH,1.0,7.0,7.0,IE,1.5634,
1041,110.0,-8.227215,51.8356384,1.00602,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,10.985,exact
1042,220.0,-8.227215,51.8356384,1.0,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.2279,exact
1052,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,13.2279,prefix
1061,110.0,-8.0755119,54.0945702,1.04408,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,2.8433,exact
1062,220.0,-8.2298695,51.8324792,1.0,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,13.2279,coupled
1071,110.0,-8.5499195,53.0367354,1.04281,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,5.5677,exact
1072,220.0,-8.227215,51.8356384,1.00001,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,13.2167,coupled
1081,110.0,-8.5076209,52.6617276,1.02704,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,7.7625,exact
1091,110.0,-6.4790891,53.3403233,1.00705,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-0.3781,exact
1101,110.0,-7.6492028,52.3719788,1.00005,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,6.8375,exact
1121,110.0,-6.147732,52.8151839,1.01551,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,5.2084,exact
1122,220.0,-6.147732,52.8151839,1.00945,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,5.7927,exact
1131,110.0,-9.3004089,52.43755,1.04724,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,8.7798,exact
1141,110.0,-7.9745082,53.4230436,1.04419,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,2.9765,exact
1151,110.0,,,1.00474,PQ,,0,BALLINKNOCKA,BALLINKNOCKA,1.0,5.0,5.0,IE,11.4199,
1161,110.0,-9.0514195,52.6252455,1.0,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,11.8872,exact
1181,110.0,-7.4943716,53.9086252,1.03996,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,1.2878,exact
1201,110.0,-6.2094672,53.382358,1.00783,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,3.4282,exact
1211,110.0,-9.0797175,52.0059847,1.0,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,9.9304,truncated
1212,220.0,-9.0797175,52.0059847,1.01076,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,9.9276,truncated
1221,110.0,-6.9993402,52.9934345,1.04053,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,4.3918,exact
1231,110.0,-6.2495207,52.5378526,1.02903,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,6.824,exact
1243,365.0,,,1.00422,PQ,,0,CELTIC,CELTIC,2.0,10.0,10.0,IE,11.9049,
1244,380.0,,,1.00644,PQ,,0,CELTIC,CELTIC,1.0,10.0,10.0,IE,11.9049,
1251,110.0,-9.240483,52.7756037,1.04656,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,7.2692,exact
1261,110.0,,,0.99444,PQ,,0,BALDONNELL,BALDONNELL,1.0,11.0,11.0,IE,-2.2697,
1271,110.0,-6.4401389,53.5454415,1.00085,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,1.2263,exact
1281,110.0,-9.4296621,51.7239932,1.02023,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,8.5733,exact
