,32508-XX
0,0.03602737370604325
1,0.03021326042362473
2,0.040855248431626925
3,0.0421583532412758
4,0.07510170079385053
5,0.019280295097704413
6,0.015518144171761169
7,0.020037762185479216
8,0.019731816559757347
9,0.015372646460806806
10,0.021038302821743435
11,0.05564791205718657
12,0.06328519307693271
13,0.13472281602064085
14,0.12363380424821507
15,0.0865903642495315
16,0.12634399909680202
17,0.11405372869920291
18,0.10063490726386772
19,0.17903131218701637
20,0.12879356787095497
21,0.1022396985460742
22,0.1316452846072053
23,0.14037531481561674
24,0.14344162370175093
25,0.1497141989561213
26,0.1930432380808535
27,0.15954498222135868
28,0.22744354792646576
29,0.1783670225494177
30,0.2771465454047198
31,0.15743842365169453
32,0.11942985628254807
33,0.13158481091951044
34,0.12439062589446734
35,0.16441061630961556
36,0.1323986235689747
37,0.18661509021737202
38,0.13107198105892665
39,0.14041618680788912
40,0.1804248544452885
41,0.13075351206929373
42,0.2343382930286962
43,0.24608503001375384
44,0.1930442922325849
45,0.12492712114544444
46,0.09883621384606374
47,0.11042398684484081
48,0.16286773799442725
49,0.13699350541614738
50,0.23380401944863008
51,0.08478840638458922
52,0.06962970113632096
53,0.03194281984015966
54,0.03217881429303605
55,0.03962898537279372
56,0.024800697942870563
57,0.027666725799625917
58,0.020673522967868754
59,0.023284066090694458
60,0.029628983803623735
61,0.02864854562544641
62,0.03397575156169485
63,0.027699656361981614
64,0.03234653873787617
65,0.019468407360655107
66,0.013125739411369108
67,0.013933523438475759
68,0.01570893764200494
69,0.0164884154836122
70,0.012302132174551733
71,0.005109938725335872
72,0.009725406719264406
73,0.013011178629416812
74,0.015143659968700533
75,0.0204109577616946
76,0.01719314483124972
77,0.014477900983591295
78,0.017715723238937733
79,0.009176222665649394
80,0.014121885308473865
81,0.010963281967821792
82,0.0093004219899402
83,0.0028136547913839923
84,0.0
85,0.0025150546097329617
86,0.008022832127667117
87,0.009886457816714194
88,0.014053773058025111
89,0.018357031764894293
90,0.023690019364404107
91,0.04573961023186293
92,0.07924467426871756
93,0.0619944201916854
94,0.08115680945335373
95,0.07540716384144644
96,0.12299541358557008
97,0.1641906202078429
98,0.2570533483857229
99,0.18165454975197032
100,0.30006442686791
101,0.21690787125072325
102,0.44670765370962784
103,0.45936337177943104
104,0.3245918787957943
105,0.22396412633290433
106,0.35832399187231134
107,0.3964019924530801
108,0.3857565400505604
109,0.2488416391177877
110,0.306810701110566
111,0.130757133849612
112,0.12916215854559726
113,0.13538630956701148
114,0.1779743889914088
115,0.17613963089495724
116,0.20621001970158065
117,0.15589298736601676
118,0.21334366231686738
119,0.22939262935946794
120,0.34383589643170753
121,0.416165404578608
122,0.43324166147512083
123,0.5303740125490156
124,0.450220528583546
125,0.6790326499318191
126,0.6008017284861759
127,0.5096250392716235
128,0.4486814868567402
129,0.6224292568462656
130,0.646266220094843
131,0.5854362026159806
132,0.5127546977603895
133,0.5611072161515119
134,0.6142606653159414
135,0.3881098278324917
136,0.3538019227398629
137,0.4739579442598545
138,0.6608856459618934
139,0.458465961064982
140,0.459289913912208
141,0.5001910336545223
142,0.5512898725874893
143,0.5126000167129608
144,0.5943763534923459
145,0.6880925755292172
146,0.6652270463076687
147,0.7275170003559678
148,0.8175013357492642
149,0.693789483809417
150,0.56807903988317
151,0.39779299040375266
152,0.3474598126059508
153,0.21882906162537882
154,0.2919276648884434
155,0.349596784473746
156,0.42987115983151836
157,0.3914648578661937
158,0.5208602440079539
159,0.5339790183962603
160,0.6478082811643922
161,0.5588152114414728
162,0.6551310557041481
163,0.5237722066056459
164,0.504960395729086
165,0.5230449459583418
166,0.5289829018702206
167,0.43410028202678436
