name,bus,carrier,p_set
Cathaleen's Fall demand,Cathaleen's Fall,AC,5.98
Binbane demand,Binbane,AC,7.02
Letterkenny demand,Letterkenny,AC,17.63
Trillick demand,Trillick,AC,6.27
Ardnagappary demand,Ardnagappary,AC,2.99
Sligo demand,Sligo,AC,19.6
Moy demand,Moy,AC,13.49
