name,bus,carrier,p_set
Moy demand,Moy,AC,13.53
Cathaleen's Fall demand,Cathaleen's Fall,AC,6.0
Binbane demand,Binbane,AC,7.04
Letterkenny demand,Letterkenny,AC,17.68
Sligo demand,Sligo,AC,19.66
Trillick demand,Trillick,AC,6.29
Ardnagappary demand,Ardnagappary,AC,3.0
