name,bus,control,p_nom,p_min_pu,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated,p_set_tytfs
10271-1,1021,PV,21.0,0.23809523809523808,-1.981,1.0,hydro,1.0,10271.0,HY_ARDNG1,True,21.0
10272-2,1021,PV,22.0,0.22727272727272727,-1.981,1.0,hydro,1.0,10272.0,HY_ARDNG2,True,22.0
10273-3,1021,PV,19.0,0.2631578947368421,-1.981,1.0,hydro,1.0,10273.0,HY_ARDNG3,True,19.0
10274-4,1021,PV,24.0,0.20833333333333334,-1.981,1.0,hydro,1.0,10274.0,HY_ARDNG4,True,24.0
10275-3,1021,PV,7.5,0.0,-0.152,1.0,wind,0.0,10275.0,W_KNOCKAST,True,0.75
10276-2,1021,PV,0.66,0.0,-0.013,1.0,wind,0.0,10276.0,W_MIENVEE,True,0.066
10277-1,1021,PV,4.0,0.0,-0.081,1.0,solar,0.0,10277.0,PV_DROMSALLA,True,0.4
10371-1,1031,PV,115.0,0.0,5.975,1.0,unknown,60.0,10371.0,BALRUNTAGH,True,11.5
10470-1,10422,PV,456.69,0.4861065493004007,119.116,1.0,gas,90.0,10470.0,AGH_CCGT,True,449.0
10671-2,1061,PV,4.8,0.0,-0.097,1.0,wind,0.0,10671.0,W_CORRIEM,True,0.48
10672-3,1061,PV,5.0,0.0,-0.102,1.0,wind,0.0,10672.0,W_KILRONAN,True,0.5
10673-1,1061,PV,1.2,0.0,-0.024,1.0,wind,0.0,10673.0,W_SPIONKO,True,0.12
10674-5,1061,PV,4.6,0.0,-0.093,1.0,wind,0.0,10674.0,W_SELTANAV,True,0.46
10811-1,1081,PV,4.0,0.0,-0.081,1.0,solar,0.0,10811.0,PV_LAGHTANE,True,0.4
10872-1,1081,PV,4.0,0.0,-0.081,1.0,solar,0.0,10872.0,PV_MULKEAR(W,True,0.4
11262-1,11261,PV,800.0,0.0,0.0,1.0,wind,0.0,11262.0,W_ARKLOW OFF,True,80.0
11271-1,1121,PV,25.2,0.0,-0.512,1.0,wind,0.0,11271.0,W_ARKLOWB,True,2.52
11272-1,1121,PV,4.0,0.0,-0.081,1.0,solar,0.0,11272.0,PV_TEMPLERAI,True,0.4
11273-1,1121,PV,39.99,0.0,-0.812,1.0,wind,0.0,11273.0,W_BALLYMANUS,True,3.999
11274-1,1121,PV,10.0,0.0,-0.203,1.0,solar,0.0,11274.0,PV_COOLBOY S,True,1.0
11275-1,1121,PV,22.0,0.0,1.484,1.0,solar,0.0,11275.0,PV_JOHNSTOWN,True,2.2
11371-1,1131,PV,34.35,0.0,-7.955,1.0,wind,0.0,11371.0,W_ATHEA,True,3.435
11372-1,11310,PV,23.15,0.0,-4.339,1.0,wind,0.0,11372.0,W_TOBERTOREE,True,2.315
11412-1,1141,PV,4.0,0.0,-0.081,1.0,solar,0.0,11412.0,PV_SHANNAGH,True,0.4
11424-1,1141,PV,4.0,0.0,-0.081,1.0,solar,0.0,11424.0,PV_ROOAUN,True,0.4
11471-1,1141,PV,0.9,0.0,-0.018,1.0,wind,0.0,11471.0,W_CLOONCON E,True,0.09
11474-1,1141,PV,5.0,0.0,-0.102,1.0,unknown,60.0,11474.0,DERRYMANY,True,0.5
11571-1,1151,PV,50.0,0.0,0.0,1.0,solar,0.0,11571.0,PV_BALLINKNO,True,5.0
12271-1,1221,PV,4.99,0.0,-0.101,1.0,solar,0.0,12271.0,PV_WOODSTOCK,True,0.499
