time_utc,fleet_mw,capacity_factor
2026-09-11T09:00,1030.8,0.2395
2026-09-11T10:00,1245.8,0.2894
2026-09-11T11:00,1234.9,0.2869
2026-09-11T12:00,1168.8,0.2715
2026-09-11T13:00,1044.6,0.2427
2026-09-11T14:00,884.2,0.2054
2026-09-11T15:00,714.5,0.166
2026-09-11T16:00,547.0,0.1271
2026-09-11T17:00,396.6,0.0921
2026-09-11T18:00,272.1,0.0632
2026-09-11T19:00,171.5,0.0398
2026-09-11T20:00,99.7,0.0232
2026-09-11T21:00,59.4,0.0138
2026-09-11T22:00,43.0,0.01
2026-09-11T23:00,47.1,0.0109
