name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
44732,220.0,,,1.06235,PQ,44737-1,0,CODLING 2,CODLING 2,1.0,11.0,11.0,IE,-2.8494,
44733,220.0,,,1.06235,PQ,44738-1,0,CODLING 3,CODLING 3,1.0,11.0,11.0,IE,-2.8494,
47210,110.0,-8.3695668,51.8268181,1.06453,PQ,,0,RAFFEENB,RAFFEENB,1.0,10.0,10.0,IE,12.8524,fuzzy
47261,110.0,-8.3695668,51.8268181,1.06453,PQ,,0,RAFF_CAP,RAFF,1.0,10.0,10.0,IE,12.8524,coupled
49662,110.0,-7.2988808,53.9987866,1.04851,PQ,,0,MOB_CAP,MOB,1.0,7.0,7.0,IE,-5.474,coupled
49861,110.0,-8.4672217,54.2412252,1.05175,PQ,,0,SLIG_CAP,SLIG,1.0,2.0,2.0,IE,-1.1166,coupled
50019,110.0,,,1.05472,PQ,,0,SOMRST T,SOMRST,1.0,3.0,3.0,IE,8.8078,
50619,110.0,,,1.03405,PQ,,0,STRATF T,STRATF,1.0,9.0,9.0,IE,0.9252,
51319,110.0,-6.2060635,53.2702392,1.05158,PQ,,0,CENTRAL PARK,CENTRAL PARK,1.0,11.0,11.0,IE,-4.0522,exact
51410,110.0,-9.3662608,52.5885022,1.05,PQ,,0,TARBERT,TARBERT,1.0,5.0,5.0,IE,11.8223,exact
51911,110.0,,,1.0479,PQ,51971-1,0,CROAGHONAGH,CROAGHONAGH,1.0,1.0,1.0,IE,-7.6194,
52219,110.0,,,1.05465,PQ,,0,TULBRK T,TULBRK,1.0,4.0,4.0,IE,9.5684,
52610,110.0,-9.426115,52.4245772,1.05174,PQ,52675-1,0,TRIEN,TRIEN,1.0,5.0,5.0,IE,12.2107,exact
52661,110.0,-9.426115,52.4245772,1.05658,PQ,,0,TRIE_CAP,TRIE,1.0,5.0,5.0,IE,8.7779,coupled
52861,110.0,-9.6740021,52.2890467,1.05093,PQ,,0,TRAL_CAP,TRAL,1.0,5.0,5.0,IE,8.1339,coupled
53061,110.0,-7.7642805,52.6919962,1.04858,PQ,,0,THUR_CAP,THUR,1.0,8.0,8.0,IE,7.3986,coupled
54622,220.0,-6.5697981,53.4746308,1.06886,PQ,,0,WOODLAND,WOODLAND,1.0,11.0,11.0,IE,0.2027,exact
54630,260.0,-6.5675597,53.4712157,1.04392,PQ,54630-1,0,EASTWEST,EASTWEST,2.0,11.0,11.0,IE,3.8431,alias
54640,380.0,-6.5675597,53.4712157,1.05231,PQ,,0,PORTAN,PORTAN,1.0,11.0,11.0,IE,3.1978,exact
55061,110.0,-6.5394499,52.3403641,1.039,PQ,,0,WEXF_CAP,WEXF,1.0,9.0,9.0,IE,6.1673,coupled
66094,110.0,-8.0518963,53.7511805,1.05,PQ,66095-1,0,SLIABH BAWN,SLIABH BAWN,1.0,3.0,3.0,IE,0.8779,exact
66096,110.0,,,1.0508,PQ,68096-1,0,UPPERCHURCH,UPPERCHURCH,1.0,8.0,8.0,IE,7.9936,
66121,220.0,,,1.05,PQ,,0,ORIEL,ORIEL,1.0,11.0,11.0,IE,-0.5805,
66122,220.0,,,1.05557,PQ,,0,ORIEL LANDIN,ORIEL LANDIN,1.0,11.0,11.0,IE,-0.4554,
66123,220.0,,,1.05606,PQ,66171-2,0,ORIEL OFFSHO,ORIEL OFFSHO,1.0,11.0,11.0,IE,-0.4157,
68090,110.0,,,1.03948,PQ,68095-1,0,KNOCKNAMONA,KNOCKNAMONA,1.0,12.0,12.0,IE,9.9181,
70010,110.0,-7.5851248,54.1627134,1.01206,PQ,70091-SN,0,AGHYOULE,AGHYOULE,1.0,14.0,14.0,NI,-4.7526,exact
70111,110.0,,,1.04602,PQ,,0,AIRP,AIRP,1.0,13.0,13.0,NI,-4.0653,
70112,110.0,,,1.04601,PQ,,0,AIRP1B,AIRP1,1.0,13.0,13.0,NI,-4.0657,
70311,110.0,-6.2208116,54.7277414,1.02974,PQ,70390-CR,0,ANTR1A,ANTR1,1.0,13.0,13.0,NI,0.0288,ni-code
70312,110.0,-6.2208116,54.7277414,1.02582,PQ,,0,ANTR1B,ANTR1,1.0,13.0,13.0,NI,0.0848,ni-code
70510,110.0,-5.7822124,54.8423899,1.04112,PQ,70507-7,0,BAFD1-,BAFD1,1.0,13.0,13.0,NI,3.1521,ni-code
70520,275.0,-5.7840555,54.8451971,1.03743,PQ,70513-A,0,BAFD2-,BAFD2,1.0,13.0,13.0,NI,2.8456,ni-code
71011,110.0,-6.2853537,54.8512107,1.02703,PQ,71037-EL,0,BAME1A,BAME1,1.0,14.0,14.0,NI,-0.1425,ni-code
71012,110.0,-6.2853537,54.8512107,1.0265,PQ,,0,BAME1B,BAME1,1.0,14.0,14.0,NI,-0.2066,ni-code
71511,110.0,-6.2458547,54.3439696,1.05112,PQ,,0,BANB1A,BANB1,1.0,13.0,13.0,NI,-3.7583,ni-code
71512,110.0,-6.2458547,54.3439696,1.0524,PQ,,0,BANB1B,BANB1,1.0,13.0,13.0,NI,-3.6291,ni-code
72010,110.0,-5.8612268,54.7841741,1.03243,PQ,,0,BAVA1-,BAVA1,1.0,13.0,13.0,NI,1.5193,ni-code
72021,110.0,,,1.03243,PQ,,0,TBESS,TBESS,1.0,13.0,13.0,NI,1.5192,
72511,110.0,-5.8782828,54.3907852,1.03491,PQ,,0,BNCH1A,BNCH1,1.0,13.0,13.0,NI,-4.9355,ni-code
72512,110.0,-5.8782828,54.3907852,1.0349,PQ,,0,BNCH1B,BNCH1,1.0,13.0,13.0,NI,-4.9381,ni-code
73011,110.0,-5.9247406,54.6048411,1.0465,PQ,,0,BELN1A,BELN1,1.0,13.0,13.0,NI,-3.7028,coupled
73012,110.0,-5.9247406,54.6048411,1.0465,PQ,,0,BELN1B,BELN1,1.0,13.0,13.0,NI,-3.7028,coupled
73500,110.0,-6.7382085,54.9371278,1.03,PQ,73501-BR,0,BROCK1,BROCK1,1.0,14.0,14.0,NI,0.4161,ni-code
73510,110.0,,,1.02973,PQ,73530-CE,0,GARVAGH NI,GARVAGH NI,1.0,14.0,14.0,NI,0.3754,
74011,110.0,-5.9538319,54.6869153,1.03268,PQ,74091-CH,0,CARN1A,CARN1,1.0,13.0,13.0,NI,1.6063,ni-code
74012,110.0,-5.9538319,54.6869153,1.03267,PQ,,0,CARN1B,CARN1,1.0,13.0,13.0,NI,1.6171,ni-code
74511,110.0,-5.8784287,54.5629404,1.04915,PQ,,0,CAST1A,CAST1,1.0,13.0,13.0,NI,-3.7639,ni-site
74512,110.0,-5.8784287,54.5629404,1.04915,PQ,,0,CAST1B,CAST1,1.0,13.0,13.0,NI,-3.7639,ni-site
74520,275.0,-5.8784287,54.5629404,1.02988,PQ,,0,CAST2-,CAST2,1.0,13.0,13.0,NI,0.2215,ni-code
74711,110.0,-5.9247406,54.6048411,1.04668,PQ,,0,CENT1A,CENT1,1.0,13.0,13.0,NI,-3.718,ni-code
74712,110.0,-5.9247406,54.6048411,1.04668,PQ,,0,CENT1B,CENT1,1.0,13.0,13.0,NI,-3.718,ni-code
75010,110.0,-6.6873926,55.1094142,1.01917,PQ,75092-GR,0,COLE1-,COLE1,1.0,14.0,14.0,NI,-1.0804,ni-code
75012,110.0,-6.6873926,55.1094142,1.01917,PQ,,0,COL_HISC,COL_HISC,1.0,14.0,14.0,NI,-1.0804,coupled
75510,110.0,-7.2472407,55.0424072,1.05851,PQ,75515-ST,0,COOL1-,COOL1,1.0,14.0,14.0,NI,1.3925,ni-site
75511,110.0,-7.2472407,55.0424072,1.05851,PQ,,0,COOL1,COOL1,1.0,14.0,14.0,NI,1.3925,ni-site
75514,110.0,-7.2472407,55.0424072,1.05851,PQ,,0,COOL_CAP,COOL,1.0,14.0,14.0,NI,1.3925,coupled
75520,275.0,-7.2472407,55.0424072,1.03366,PQ,75516-GT,0,COOLKEER,COOLKEER,1.0,14.0,14.0,NI,2.9324,prefix
75521,275.0,-7.2472407,55.0424072,1.0337,PQ,,0,COOL2A,COOL2,1.0,14.0,14.0,NI,2.9193,ni-code
75522,275.0,-7.2472407,55.0424072,1.03369,PQ,,0,COOL2B,COOL2,1.0,14.0,14.0,NI,2.9193,ni-code
75523,275.0,-7.2472407,55.0424072,1.03366,PQ,,0,SKRAFT_SC,SKRAFT_SC,1.0,14.0,14.0,NI,2.9324,coupled
75610,110.0,,,1.05953,PQ,75630-AU,0,AUGHT,AUGHT,1.0,14.0,14.0,NI,1.4264,
75611,110.0,,,1.05881,PQ,,0,CULMORE_RD,CULMORE_RD,1.0,14.0,14.0,NI,1.3928,
75710,110.0,-5.9247406,54.6048411,1.04671,PQ,,0,CORP ST,CORP ST,1.0,13.0,13.0,NI,-3.7136,coupled
75810,110.0,-6.4927469,54.7612165,1.02136,PQ,75830-BQ,0,CREAGH,CREAGH,1.0,14.0,14.0,NI,-1.9488,exact
76011,110.0,-5.8958778,54.5825064,1.04785,PQ,,0,CREG1A,CREG1,1.0,13.0,13.0,NI,-3.7781,ni-code
76012,110.0,-5.8958778,54.5825064,1.04785,PQ,,0,CREG1B,CREG1,1.0,13.0,13.0,NI,-3.7779,ni-code
76511,110.0,-5.9247406,54.6048411,1.04579,PQ,,0,DONE1C,DONE1C,1.0,13.0,13.0,NI,-3.5283,coupled
76512,110.0,-5.9540897,54.5909011,1.04595,PQ,,0,DONE1B,DONE1,1.0,13.0,13.0,NI,-3.5289,ni-code
76513,110.0,,,1.04464,PQ,,0,DONE1D,DONE1D,1.0,13.0,13.0,NI,-3.5017,
76514,110.0,-5.9540897,54.5909011,1.04258,PQ,,0,DONE1A,DONE1,1.0,13.0,13.0,NI,-3.4755,ni-code
76810,110.0,-7.3879666,54.5291488,1.0307,PQ,,0,DROMORE,DROMORE,1.0,14.0,14.0,NI,-2.4626,exact
77010,110.0,,,1.05521,PQ,77090-MN,0,DRUM1-,DRUM1,1.0,14.0,14.0,NI,-3.125,
77210,110.0,-7.4862623,54.575301,1.03215,PQ,77291-CA,0,DRUMQUIN,DRUMQUIN,1.0,14.0,14.0,NI,-2.0754,exact
77211,110.0,,,1.03217,PQ,77231-CM,0,CURR_WF,CURR_WF,1.0,14.0,14.0,NI,-2.0703,
77212,110.0,,,1.03223,PQ,77232-PT,0,WIND_PT,WIND_PT,1.0,14.0,14.0,NI,-2.0678,
77511,110.0,-6.7496081,54.5330816,1.04236,PQ,77591-CR,0,DUNG1-,DUNG1,1.0,14.0,14.0,NI,-2.2035,ni-code
77512,110.0,-6.7496081,54.5330816,1.04236,PQ,,0,DUNG1B,DUNG1,1.0,14.0,14.0,NI,-2.2035,ni-code
78511,110.0,-5.7827614,54.7377509,1.03353,PQ,78590-LI,0,EDEN1A,EDEN1,1.0,13.0,13.0,NI,1.9524,ni-code
78512,110.0,-5.7827614,54.7377509,1.03353,PQ,,0,EDEN1B,EDEN1,1.0,13.0,13.0,NI,1.9645,ni-code
79010,110.0,-7.6326094,54.3671413,1.01691,PQ,79091-CA,0,ENNISKIL,ENNISKIL,1.0,14.0,14.0,NI,-3.9566,prefix
79015,110.0,-7.6326094,54.3671413,1.01726,PQ,,0,ENNK_PST,ENNK,1.0,14.0,14.0,NI,-6.8771,coupled
79016,110.0,-7.6326094,54.3671413,1.04498,PQ,,0,ENNK_PST,ENNK,1.0,14.0,14.0,NI,-6.804,coupled
79017,110.0,-7.6326094,54.3671413,1.01726,PQ,,0,ENNISKILLEN,ENNISKILLEN,1.0,14.0,14.0,NI,-6.8771,exact
79510,110.0,,,1.02424,PQ,79530-CB,0,CAM,CAM,1.0,14.0,14.0,NI,-0.6639,
80011,110.0,-5.9944128,54.5699203,1.04511,PQ,,0,FINY1A,FINY1,1.0,13.0,13.0,NI,-3.3504,ni-code
80012,110.0,-5.9944128,54.5699203,1.04555,PQ,,0,FINY1B,FINY1,1.0,13.0,13.0,NI,-3.3539,ni-code
80511,110.0,,,1.02938,PQ,,0,GLEN1A,GLEN1,1.0,14.0,14.0,NI,-0.0013,
80512,110.0,,,1.02938,PQ,,0,GLEN1B,GLEN1,1.0,14.0,14.0,NI,-0.0014,
80710,110.0,-7.1171035,54.4851717,1.04091,PQ,80700-SS,0,GORT,GORT,1.0,14.0,14.0,NI,-1.7869,exact
80711,110.0,-7.1171035,54.4851717,1.04091,PQ,,0,GORT SC,GORT SC,1.0,14.0,14.0,NI,-1.7869,coupled
81010,110.0,-6.0273784,54.5747551,1.0459,PQ,,0,HANA1A,HANA1,1.0,13.0,13.0,NI,-3.283,ni-site
81011,110.0,-6.0273784,54.5747551,1.0459,PQ,,0,HANA1B,HANA1,1.0,13.0,13.0,NI,-3.283,ni-site
81020,275.0,-6.0273784,54.5747551,1.03282,PQ,,0,HANA2A,HANA2,1.0,13.0,13.0,NI,0.508,ni-code
81031,110.0,,,1.04592,PQ,,0,COLINGLEN_BE,COLINGLEN_BE,1.0,13.0,13.0,NI,-3.2835,
81510,110.0,-6.1653631,54.8036875,1.0324,PQ,81530-CG,0,KELS1-,KELS1,1.0,14.0,14.0,NI,0.3796,ni-code
81511,110.0,-6.1653631,54.8036875,1.03241,PQ,,0,KELL_WIND1,KELL_WIND1,1.0,14.0,14.0,NI,0.3795,coupled
81512,110.0,,,1.03246,PQ,,0,KELL_WIND2,KELL_WIND2,1.0,14.0,14.0,NI,0.379,
81520,275.0,-6.167332,54.8014668,1.02838,PQ,,0,KELS2-,KELS2,1.0,14.0,14.0,NI,2.5364,ni-code
81810,110.0,,,1.05282,PQ,81831-EL,0,KILL1-CL,KILL1-CL,1.0,14.0,14.0,NI,1.147,
82020,275.0,-5.7679308,54.727135,1.02495,PQ,82003-3,0,KILR2-,KILR2,1.0,13.0,13.0,NI,3.1316,ni-code
82511,110.0,-5.8560999,54.5941754,1.04786,PQ,,0,KNCK1A,KNCK1,1.0,13.0,13.0,NI,-3.8144,ni-code
82512,110.0,-5.8560999,54.5941754,1.04787,PQ,,0,KNCK1B,KNCK1,1.0,13.0,13.0,NI,-3.8136,ni-code
83011,110.0,-5.8553653,54.847707,1.02928,PQ,83091-EH,0,LARN1A,LARN1,1.0,13.0,13.0,NI,1.2034,ni-code
83012,110.0,-5.8553653,54.847707,1.02974,PQ,,0,LARN1B,LARN1,1.0,13.0,13.0,NI,1.2568,ni-code
83510,110.0,-6.9158482,55.0242354,1.04137,PQ,83591-A1,0,LIMA1-,LIMA1,1.0,14.0,14.0,NI,-0.3896,ni-code
84011,110.0,-6.0904031,54.5211635,1.0444,PQ,84095-BA,0,LISB1A,LISB1,1.0,13.0,13.0,NI,-3.6054,ni-code
84012,110.0,-6.0904031,54.5211635,1.04484,PQ,,0,LISB1B,LISB1,1.0,13.0,13.0,NI,-3.5965,ni-code
84411,110.0,-7.3049906,54.9806374,1.05481,PQ,,0,LSMR1A,LSMR1,1.0,14.0,14.0,NI,1.1112,ni-code
