name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10271-1,1021,PV,21.0,0.23809523809523808,21.0,-1.981,1.0,hydro,1.0,10271.0,HY_ARDNG1,True
10272-2,1021,PV,22.0,0.22727272727272727,22.0,-1.981,1.0,hydro,1.0,10272.0,HY_ARDNG2,True
10273-3,1021,PV,19.0,0.2631578947368421,19.0,-1.981,1.0,hydro,1.0,10273.0,HY_ARDNG3,True
10274-4,1021,PV,24.0,0.20833333333333334,24.0,-1.981,1.0,hydro,1.0,10274.0,HY_ARDNG4,True
10275-3,1021,PV,7.5,0.0,0.75,-0.152,1.0,wind,0.0,10275.0,W_KNOCKAST,True
10276-2,1021,PV,0.66,0.0,0.066,-0.013,1.0,wind,0.0,10276.0,W_MIENVEE,True
10277-1,1021,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,10277.0,PV_DROMSALLA,True
10371-1,1031,PV,115.0,0.0,11.5,5.975,1.0,unknown,60.0,10371.0,BALRUNTAGH,True
10470-1,10422,PV,456.69,0.4861065493004007,449.0,119.116,1.0,gas,90.0,10470.0,AGH_CCGT,True
10671-2,1061,PV,4.8,0.0,0.48,-0.097,1.0,wind,0.0,10671.0,W_CORRIEM,True
10672-3,1061,PV,5.0,0.0,0.5,-0.102,1.0,wind,0.0,10672.0,W_KILRONAN,True
10673-1,1061,PV,1.2,0.0,0.12,-0.024,1.0,wind,0.0,10673.0,W_SPIONKO,True
10674-5,1061,PV,4.6,0.0,0.46,-0.093,1.0,wind,0.0,10674.0,W_SELTANAV,True
10811-1,1081,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,10811.0,PV_LAGHTANE,True
10872-1,1081,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,10872.0,PV_MULKEAR(W,True
11262-1,11261,PV,800.0,0.0,80.0,0.0,1.0,wind,0.0,11262.0,W_ARKLOW OFF,True
11271-1,1121,PV,25.2,0.0,2.52,-0.512,1.0,wind,0.0,11271.0,W_ARKLOWB,True
11272-1,1121,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,11272.0,PV_TEMPLERAI,True
11273-1,1121,PV,39.99,0.0,3.999,-0.812,1.0,wind,0.0,11273.0,W_BALLYMANUS,True
11274-1,1121,PV,10.0,0.0,1.0,-0.203,1.0,solar,0.0,11274.0,PV_COOLBOY S,True
11275-1,1121,PV,22.0,0.0,2.2,1.484,1.0,solar,0.0,11275.0,PV_JOHNSTOWN,True
11371-1,1131,PV,34.35,0.0,3.435,-7.955,1.0,wind,0.0,11371.0,W_ATHEA,True
11372-1,11310,PV,23.15,0.0,2.315,-4.339,1.0,wind,0.0,11372.0,W_TOBERTOREE,True
11412-1,1141,PV,4.0,0.0,0.4,-0.081,1.0,solar,0.0,11412.0,PV_SHANNAGH,True
