name,bus,carrier,p_set
Moy demand,Moy,AC,13.49
Cathaleen's Fall demand,Cathaleen's Fall,AC,5.98
Binbane demand,Binbane,AC,7.02
Letterkenny demand,Letterkenny,AC,17.63
Sligo demand,Sligo,AC,19.6
Trillick demand,Trillick,AC,6.27
Ardnagappary demand,Ardnagappary,AC,2.99
