station,bus,outside_bus,outside_name,outside_kv,ckt,km,rate1_mva,element,into_region_mw
Cathaleen's Fall,1701,1981,CORRACLASSY,110.0,1,61.3,178.0,1701-1981-1,-0.4322323489252682
Corderry,1631,10619,ARIGNA_T,110.0,1,13.68,178.0,1631-10619-1,0.9195893113733504
Letterkenny,3581,89516,STRA_PST,110.0,1,22.25,80.0,3581-89516-1,-34.80905067246883
Moy,4041,1401,BELLACORICK,110.0,1,27.0,178.0,1401-4041-1,-22.58222629707828
Sligo,4981,2521,FLAGFORD,110.0,1,50.5,99.0,2521-4981-1,-1.6913548772685711
Srananagh 220,5042,2522,FLAGFORD,220.0,1,56.01,434.0,2522-5042-1,35.79527488440719
