osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/616338652,Knockcairn Road Solar Farm,Knockcairn Road Solar Farm,KNOCKCAIRN ROAD SOLAR FARM,plant,,,,54.6094716,-6.1661465
way/1424814909,Knockdrin 110kV Substation,Knockdrin 110kV Substation,KNOCKDRIN,substation,EirGrid,110,110.0,53.3598053,-7.2130769
way/547559219,Knockduff 110 kV Substation,Knockduff 110 kV Substation,KNOCKDUFF,substation,EirGrid,110;33,110.0,52.0385569,-8.9092979
relation/14171003,Knockduff Wind Farm,Knockduff Wind Farm,KNOCKDUFF WIND FARM,plant,Invis Energy,,,52.0336706,-8.8455192
way/236517264,Knockearagh 110kV Substation,Knockearagh 110kV Substation,KNOCKEARAGH,substation,EirGrid,110;38,110.0,52.0764652,-9.4387403
way/1356218066,Knockglass Solar Farm,Knockglass Solar Farm,KNOCKGLASS SOLAR FARM,plant,,,,51.9514901,-8.8963115
way/1317981898,Knockharley Landfill,Knockharley Landfill,KNOCKHARLEY LANDFILL,plant,Starrus LFG Limited,,,53.642967,-6.5249775
way/609676590,Knockmore Hill 33kV Substation,Knockmore Hill 33kV Substation,KNOCKMORE HILL,substation,NIE Networks,33,33.0,54.508029,-6.0899402
way/471343768,Knockmore Hill Combined Heat and Power,Knockmore Hill Combined Heat and Power,KNOCKMORE HILL COMBINED HEAT AND,plant,ContourGlobal,,,54.5082852,-6.0905873
way/1003807824,Knockmullen 38 kV Substation,Knockmullen 38 kV Substation,KNOCKMULLEN,substation,ESB Networks,38;20;10,38.0,52.382368,-6.9389765
way/512636965,Knocknagoum 38 kV Substation,Knocknagoum 38 kV Substation,KNOCKNAGOUM,substation,ESB Networks,38;20,38.0,52.3026525,-9.5441489
relation/14352925,Knocknagoum Windfarm,Knocknagoum Windfarm,KNOCKNAGOUM WINDFARM,plant,Invis Energy,,,52.3314544,-9.5364592
way/508682529,Knocknalour Wind Farm,Knocknalour Wind Farm,KNOCKNALOUR WIND FARM,plant,Knocknalour Wind Farm Ltd,,,52.682312,-6.5579472
way/104388595,Knockraha 220kV Substation,Knockraha 220kV Substation,KNOCKRAHA,substation,EirGrid,220;110,220.0,51.9541985,-8.3194761
way/665898646,Knockranny 110kV Substation,Knockranny 110kV Substation | Letter 110kV Substation | West Galway 110kV Substation,KNOCKRANNY | LETTER | WEST GALWAY,substation,EirGrid,110;38,110.0,53.3598717,-9.289752
way/1002012379,Knockrour 38 kV Substation,Knockrour 38 kV Substation,KNOCKROUR,substation,ESB Networks,38;20,38.0,51.676488,-9.1592403
