name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
49451-2,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49451.0,TEG SHANNONB,True
49452-5,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49452.0,TEG SHANNONB,True
49452-6,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49452.0,TEG SHANNONB,True
49453-3,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49453.0,TEG SHANNONB,True
49453-4,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49453.0,TEG SHANNONB,True
49454-7,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49454.0,TEG SHANNONB,True
49454-8,4941,PV,38.75,0.12903225806451613,38.0,-7.0,1.0,unknown,60.0,49454.0,TEG SHANNONB,True
50274-14,5022,PV,150.0,0.3333333333333333,150.0,-9.546,1.0,unknown,60.0,50274.0,PBEGG4,True
50275-15,5122,PV,150.0,0.3333333333333333,150.0,-11.933,1.0,unknown,60.0,50275.0,PBEGG5,True
50276-16,5222,PV,163.188,0.18383704684167954,163.188,-15.513,1.0,unknown,60.0,50276.0,PBEGG6,True
50573-3,5071,PV,81.0,0.48148148148148145,81.0,-9.361,1.0,unknown,60.0,50573.0,SEAL_ROCK,True
50574-4,5051,PV,81.0,0.48148148148148145,81.0,-9.361,1.0,unknown,60.0,50574.0,SEAL_ROCK,True
51475-1,5140,PV,48.0,0.5625,38.0,-10.0,1.0,unknown,60.0,51475.0,TEG TARB 5,True
51476-1,5140,PV,48.0,0.5625,39.0,-10.0,1.0,unknown,60.0,51476.0,TEG TARB 6,True
51771-CT,5172,PV,262.0,0.5916030534351145,262.0,-3.28,1.0,unknown,60.0,51771.0,TYNAGH,True
51772-ST,5172,PV,142.0,0.7816901408450704,142.0,-2.179,1.0,unknown,60.0,51772.0,TYNAGH,True
52071-1,5202,Slack,73.0,-1.0,24.018,-4.862,1.0,unknown,60.0,52071.0,TURLG1,True
52072-2,5202,PV,73.0,-1.0,24.179,-4.335,1.0,unknown,60.0,52072.0,TURLG2,True
52073-3,5202,PV,73.0,-1.0,24.018,-4.862,1.0,unknown,60.0,52073.0,TURLG3,True
52074-4,5202,PV,73.0,-1.0,24.179,-4.335,1.0,unknown,60.0,52074.0,TURLG4,True
53071-XX,5301,PV,30.0,0.0,0.0,-30.0,1.0,unknown,60.0,53071.0,THURLES STAT,True
54571-1,5451,PV,95.0,0.0,3.036,-16.184,1.0,solar,0.0,54571.0,PV_ROSSPILE,True
55074-1,5501,PV,7.98,0.0,0.479,-0.097,1.0,solar,0.0,55074.0,PV_BLUSHEENS,True
70390-DP,70311,PV,4.995,0.0,2.5,-0.508,1.0,solar,0.0,70390.0,PV_RENEW_AN,True
70513-A,70520,PV,157.0,0.43312101910828027,157.0,9.158,1.0,unknown,60.0,70513.0,BAFD_GA,True
70514-B,70520,PV,157.0,0.43312101910828027,157.0,9.158,1.0,unknown,60.0,70514.0,BAFD_GB,True
70515-C,70520,PV,173.0,0.27167630057803466,173.0,11.086,1.0,unknown,60.0,70515.0,BAFD_GC,True
70516-D,70510,PV,97.0,0.6701030927835051,97.0,12.601,1.0,unknown,60.0,70516.0,BAFD_GD,True
71093-BR,71011,PV,6.0,0.0,2.5,-0.508,1.0,solar,0.0,71093.0,PV_BALLYGARV,True
75508-8,75510,PV,53.0,0.1509433962264151,53.0,7.283,1.0,unknown,60.0,75508.0,COOLG8,True
75515-ST,75510,PV,165.0,0.6060606060606061,165.0,-23.398,1.0,unknown,60.0,75515.0,GEN_COOL,True
75516-GT,75520,PV,253.0,0.6324110671936759,253.0,10.773,1.0,unknown,60.0,75516.0,GEN_COOL,True
75591-G1,75510,PV,17.6,0.0,17.6,-3.574,1.0,unknown,60.0,75591.0,BIO_MAYD,True
82006-6,82020,PV,350.0,0.34285714285714286,250.0,-86.834,1.0,gas,90.0,82006.0,KIL_OCGT6,True
82007-7,82020,PV,350.0,0.34285714285714286,250.0,-86.834,1.0,gas,90.0,82007.0,KIL_OCGT7,True
84095-BA,84011,PV,16.95,0.0,2.985,-0.606,1.0,solar,0.0,84095.0,PV_BALIN ROA,True
84096-LR,84011,PV,21.2,0.0,6.36,-1.291,1.0,solar,0.0,84096.0,PV_LOUGH ROA,True
84097-MR,84011,PV,20.7,0.0,6.21,-1.261,1.0,solar,0.0,84097.0,PV_MAG ROAD,True
