,Moy wind,Corderry wind,Clogher wind,Drumkeen wind,Cathaleen's Fall wind,Glenree wind,Binbane wind,Letterkenny wind,Sorne Hill wind,Sligo wind,Trillick wind,Ardnagappary wind,Croaghonagh wind
0,0.5327783843795241,0.3115332565405172,0.8162037086897893,0.7650178942726047,0.4786476740660032,0.2582935285283694,0.40553194842441387,0.7710791230359155,0.8999143321173226,0.43872168082120655,0.8999143321173225,0.7583001748352524,0.8162037086897893
1,0.4140426219393285,0.19653582657580979,0.603699067558297,0.5010152047186386,0.3027001269634932,0.1379396191207217,0.17798790003003834,0.5820624929577829,0.8925010083632041,0.29047701890440647,0.8925010083632041,0.39482882902032174,0.603699067558297
2,0.33746698016980137,0.1860383832441701,0.6833748420331273,0.4758259052453486,0.3169403634072016,0.09876090956584732,0.20109221962284515,0.5671778744079028,0.8841231628984593,0.23922458346673847,0.8841231628984593,0.44994948549481717,0.6833748420331273
3,0.38940722407954376,0.23121355356023263,0.7057729866015998,0.4908826811133653,0.3238149514370729,0.10817606629657303,0.2422530664850925,0.5922204925114822,0.8963746102190192,0.2810643678031883,0.8963746102190193,0.5548031704419243,0.7057729866015998
4,0.2757657675905623,0.1518223870010057,0.4514504310498928,0.3522979709940506,0.19012532761332648,0.0733520777586406,0.142499200060756,0.5510210802475757,0.8987039805864618,0.1514156309192079,0.8987039805864618,0.4602213704924133,0.4514504310498928
5,0.15662246909695438,0.06580610862242812,0.18251918683902996,0.17032581209908412,0.07155618022179941,0.03937992124874464,0.0582805832024237,0.29494075440171313,0.8515635179440928,0.06936539900697787,0.8515635179440928,0.22439745707944284,0.18251918683902996
6,0.09111311856835022,0.04251578459041844,0.21731545408566305,0.2035201231826257,0.09235234001179846,0.02416365723512623,0.06645805307782036,0.2961978518575362,0.8648768269435051,0.049230246852978485,0.864876826943505,0.23117730203738363,0.21731545408566305
7,0.10438398332137735,0.033507407892551,0.2187443566772748,0.2492403014758539,0.08475996048588842,0.03465498339677446,0.07898931648494543,0.3239796733051629,0.8656609222859672,0.044721230339033274,0.8656609222859672,0.23286933868209952,0.2187443566772748
8,0.09024991795357509,0.01307861836177598,0.11684738080053385,0.14989069752828033,0.0389714519587809,0.03153923106490125,0.03786090619485719,0.23313361448957987,0.8133936207270361,0.031932932184129535,0.813393620727036,0.17934781296602884,0.11684738080053385
9,0.07518937057822125,0.008946684679177874,0.09524533205975184,0.09886117843364906,0.03390520136212155,0.0321644392710639,0.03426649962410184,0.1428386226547435,0.620215973684587,0.023166349364978956,0.6202159736845868,0.1462177222990417,0.09524533205975184
