station,method,osm,osm_name,osm_lat,osm_lon,eirgrid_lat,eirgrid_lon,distance_km,agrees
MULLINGAR,exact,way/266999191,Mullingar 110kV Substation,53.5383686,-7.3716668,53.538448311492154,-7.371415697104411,0.01881216829555461,True
GLASMORE,exact,way/27045289,Glasmore 110kV Substation,53.4677716,-6.2384064,53.467853206003134,-6.238165475239521,0.018348124577628938,True
CLONKEEN,exact,way/179214131,Clonkeen 110kV Substation,51.9841297,-9.2997624,51.98399312239684,-9.29962220501207,0.0179670816644309,True
CLOGHRAN,exact,way/684177183,Cloghran 110kV Substation,53.4034934,-6.3610231,53.403515642806035,-6.361288782702514,0.017785399033715517,True
RINGASKIDDY,exact,way/438019978,Ringaskiddy 110 kV Substation,51.8332719,-8.3445201,51.83326427581578,-8.34476974073012,0.017174555420788228,True
BARNAHELY,exact,way/79803764,Barnahely 110 kV Substation,51.8284805,-8.3442652,51.82849980547569,-8.344512668519526,0.0171411142318764,True
REAMORE,exact,way/218565935,Reamore 110kV Substation,52.302124,-9.5436255,52.30199774144725,-9.543496448829869,0.01655602417706175,True
CHARLEVILLE,exact,way/237476600,Charleville 110kV Substation,52.3301844,-8.6941349,52.330115912763254,-8.693931602336937,0.015774589777768255,True
TIEVEBRACK,exact,way/705034071,Tievebrack 110kV Substation,54.8102758,-8.2356174,54.81039589804294,-8.235499683889127,0.015337480666429976,True
DRUMKEEN,exact,way/183549487,Drumkeen 110kV Substation,54.8631648,-7.7722302,54.863043725330705,-7.772332029856407,0.014957196788014058,True
DROMADA,exact,way/439833711,Dromada 110kV Substation,52.4434711,-9.2344983,52.44358609516307,-9.234389817573442,0.01475017094521528,True
CASTLEFARM,exact,way/975408238,Castlefarm 110kV Substation,52.6298482,-9.0544843,52.62979474148217,-9.054684094529971,0.014736464890866231,True
CHERRYWOOD,exact,way/355532596,Cherrywood 110kV Substation,53.2433051,-6.1567888,53.24342565927386,-6.1568761703689425,0.01461195998771545,True
CLONEE,exact,way/516752881,Clonee 220kV Substation,53.4167869,-6.426741,53.4169166664921,-6.426722223294219,0.014482950830582306,True
CABRA,exact,way/374690911,Cabra 110 kV Substation,53.372675,-6.3003671,53.37255534858335,-6.300439865726645,0.014153312324453642,True
SORNE HILL,exact,way/201187920,Sorne Hill 110kV Substation,55.1313547,-7.3684232,55.13136775386182,-7.368204472733834,0.01398002501125064,True
MULLAGHARLIN,exact,way/265773388,Mullagharlin 110kV Substation,53.9755464,-6.4087276,53.97564262989293,-6.408846475603191,0.013226232760101337,True
AUNGIERSTOWN,exact,way/935127343,Aungierstown 110 kV Substation,53.316073,-6.4523208,53.31615734003405,-6.452182848122081,0.01311208537980294,True
GARVAGH,prefix,way/202980108,Garvagh Glebe 110kV Substation,54.1504588,-8.1924874,54.150495790200765,-8.192676532645805,0.012985392729804087,True
KNOCKALOUGH,exact,way/1115737898,Knockalough Substation,53.3058138,-9.2491169,53.30576503898843,-9.24929005954924,0.01271897469354755,True
AHANE,exact,way/208150180,Ahane 110kV Substation,52.6617276,-8.5076209,52.661834732065365,-8.507678501927296,0.012529988098440583,True
BARNAGEERAGH,exact,way/1003253888,Barnageeragh 110kV Substation,53.4042822,-6.3698501,53.404170065310446,-6.3698679292552285,0.012524717027738986,True
CRANE,exact,way/185706501,Crane 110kV Substation,52.5323772,-6.5144397,52.53246013410431,-6.5143177451098735,0.012373034237954415,True
CLAHANE,exact,way/210599157,Clahane 110kV Substation,52.3787738,-9.548026,52.37880045658319,-9.54820202750061,0.012310518759414139,True
GOLAGH,exact,way/183084855,Golagh 110kV Substation,54.6871253,-7.9351078,54.68723518807918,-7.935121105807001,0.012248906996546655,True
