name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
10,38.0,,,1.0654,PQ,,0,F_M,F_M,1.0,11.0,11.0,IE,-10.9636,
11,38.0,,,1.07351,PQ,,0,FMN LOOP,FMN LOOP,1.0,11.0,11.0,IE,-7.9006,
12,38.0,,,1.06773,PQ,,0,BEDFORD ROW,BEDFORD ROW,1.0,11.0,11.0,IE,-13.0201,
13,38.0,,,1.0868,PQ,,0,M_R,M_R,1.0,11.0,11.0,IE,-13.1417,
14,38.0,,,1.09253,PQ,,0,F_I,F_I,1.0,11.0,11.0,IE,-11.0632,
15,38.0,,,1.09569,PQ,,0,I_M,I_M,1.0,11.0,11.0,IE,-11.0791,
1021,110.0,-8.6163685,52.7049873,1.07114,PQ,,0,ARDNACRUSHA,ARDNACRUSHA,1.0,4.0,4.0,IE,0.3855,exact
1041,110.0,-8.227215,51.8356384,1.06492,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,9.1349,exact
1042,220.0,-8.227215,51.8356384,1.06,PQ,,0,AGHADA,AGHADA,1.0,10.0,10.0,IE,13.7731,exact
1052,220.0,-8.2298695,51.8324792,1.06,PQ,,0,AGHADA_B,AGHADA_B,1.0,10.0,10.0,IE,13.7731,prefix
1061,110.0,-8.0755119,54.0945702,1.11127,PQ,,0,ARIGNA,ARIGNA,1.0,1.0,1.0,IE,-13.1098,exact
1062,220.0,-8.2298695,51.8324792,1.06,PQ,,0,AGH_AT14,AGH_AT14,1.0,10.0,10.0,IE,13.7731,coupled
1071,110.0,-8.5499195,53.0367354,1.08611,PQ,,0,AGANNYGAL,AGANNYGAL,1.0,4.0,4.0,IE,-1.084,exact
1072,220.0,-8.227215,51.8356384,1.05995,PQ,,0,AGHT2102,AGHT2102,1.0,10.0,10.0,IE,13.7505,coupled
1081,110.0,-8.5076209,52.6617276,1.06966,PQ,,0,AHANE,AHANE,1.0,8.0,8.0,IE,1.0203,exact
1091,110.0,-6.4790891,53.3403233,1.0545,PQ,,0,ADAMSTOWN,ADAMSTOWN,1.0,11.0,11.0,IE,-9.2247,exact
1101,110.0,-7.6492028,52.3719788,1.0617,PQ,,0,ANNER,ANNER,1.0,8.0,8.0,IE,-2.065,exact
1121,110.0,-6.147732,52.8151839,1.06824,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-4.3123,exact
1122,220.0,-6.147732,52.8151839,1.05964,PQ,,0,ARKLOW,ARKLOW,1.0,9.0,9.0,IE,-2.2377,exact
1131,110.0,-9.3004089,52.43755,1.09236,PQ,,0,ATHEA,ATHEA,1.0,5.0,5.0,IE,4.7469,exact
1141,110.0,-7.9745082,53.4230436,1.11155,PQ,,0,ATHLONE,ATHLONE,1.0,3.0,3.0,IE,-5.6895,exact
1161,110.0,-9.0514195,52.6252455,1.05,PQ,,0,AUGHINISH,AUGHINISH,1.0,5.0,5.0,IE,5.2788,exact
1181,110.0,-7.4943716,53.9086252,1.0755,PQ,,0,ARVA,ARVA,1.0,7.0,7.0,IE,-14.083,exact
1201,110.0,-6.2094672,53.382358,1.0577,PQ,,0,ARTANE,ARTANE,1.0,11.0,11.0,IE,-5.4065,exact
1211,110.0,-9.0797175,52.0059847,1.05,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,6.7548,truncated
1212,220.0,-9.0797175,52.0059847,1.0621,PQ,,0,BALLYVOUSKIL,BALLYVOUSKIL,1.0,5.0,5.0,IE,6.7535,truncated
1221,110.0,-6.9993402,52.9934345,1.04903,PQ,,0,ATHY,ATHY,1.0,11.0,11.0,IE,-5.5909,exact
1231,110.0,-6.2495207,52.5378526,1.07199,PQ,,0,BALLYWATER,BALLYWATER,1.0,9.0,9.0,IE,-2.947,exact
1251,110.0,-9.240483,52.7756037,1.08593,PQ,,0,BOOLTIAGH,BOOLTIAGH,1.0,4.0,4.0,IE,0.3591,exact
1271,110.0,-6.4401389,53.5454415,1.04784,PQ,,0,BALTRASNA,BALTRASNA,1.0,7.0,7.0,IE,-9.5777,exact
1281,110.0,-9.4296621,51.7239932,1.06049,PQ,,0,BALLYLICKEY,BALLYLICKEY,1.0,6.0,6.0,IE,3.9018,exact
1301,110.0,-6.0958665,52.9909581,1.06382,PQ,,0,BALLYBEG,BALLYBEG,1.0,9.0,9.0,IE,-5.2456,exact
1311,110.0,-9.2855811,52.2145657,1.05189,PQ,,0,CORDAL,CORDAL,1.0,5.0,5.0,IE,6.1889,exact
1321,110.0,-6.8812414,53.2886399,1.04744,PQ,,0,BLAKE,BLAKE,1.0,11.0,11.0,IE,-7.8502,exact
1331,110.0,-6.5335903,53.444432,1.06126,PQ,,0,BLUNDELSTOWN,BLUNDELSTOWN,1.0,11.0,11.0,IE,-8.3992,exact
1341,110.0,-8.2634291,54.7189369,1.0841,PQ,,0,BINBANE,BINBANE,1.0,1.0,1.0,IE,-19.8123,exact
1351,110.0,-6.7752554,53.1859251,1.05099,PQ,,0,BARODA,BARODA,1.0,11.0,11.0,IE,-8.0025,exact
1361,110.0,-7.5207213,52.361399,1.0568,PQ,,0,BALLYDINE,BALLYDINE,1.0,8.0,8.0,IE,-1.4674,exact
1371,110.0,-6.3698501,53.4042822,1.05027,PQ,,0,BARNAGEERAGH,BARNAGEERAGH,1.0,11.0,11.0,IE,-7.9021,exact
1381,110.0,-8.3442652,51.8284805,1.06307,PQ,,0,BARNAHELY,BARNAHELY,1.0,10.0,10.0,IE,8.1194,exact
1401,110.0,-9.5787377,54.1205007,1.17834,PQ,,0,BELLACORICK,BELLACORICK,1.0,2.0,2.0,IE,-15.4333,exact
1411,110.0,-6.3674201,53.2968693,1.06648,PQ,,0,AIRTON,AIRTON,1.0,11.0,11.0,IE,-7.7209,exact
1421,110.0,-6.1746313,53.2914859,1.06377,PQ,,0,BLACKROCK,BLACKROCK,1.0,11.0,11.0,IE,-9.1648,exact
1431,110.0,-7.342814,52.7988347,1.05091,PQ,,0,BALLYRAGGET,BALLYRAGGET,1.0,9.0,9.0,IE,-6.0675,exact
1441,110.0,-8.733195,51.7739278,1.06379,PQ,,0,BANDON,BANDON,1.0,6.0,6.0,IE,5.0242,exact
1451,110.0,-6.3610231,53.4034934,1.05031,PQ,,0,CLOGHRAN,CLOGHRAN,1.0,11.0,11.0,IE,-7.8945,exact
1461,110.0,-8.2546807,52.0958683,1.05724,PQ,,0,BARRYMORE,BARRYMORE,1.0,8.0,8.0,IE,3.69,exact
1471,110.0,-6.2025287,53.409766,1.04889,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-6.2051,exact
1472,220.0,-6.2025287,53.409766,1.05954,PQ,,0,BELCAMP,BELCAMP,1.0,11.0,11.0,IE,-2.2955,exact
1481,110.0,-7.1703735,52.2286078,1.05307,PQ,,0,BUTLERSTOWN,BUTLERSTOWN,1.0,12.0,12.0,IE,-0.3921,exact
1491,110.0,-6.4407825,53.6475064,1.0472,PQ,,0,DEENES,DEENES,1.0,7.0,7.0,IE,-10.4496,exact
1501,110.0,-8.7045456,51.7851436,1.06368,PQ,,0,BRINNY,BRINNY,1.0,6.0,6.0,IE,5.0161,exact
1511,110.0,-9.4380864,52.3305984,1.09435,PQ,,0,CLOGHBOOLA,CLOGHBOOLA,1.0,5.0,5.0,IE,4.716,exact
1521,110.0,,,1.06278,PQ,,0,BOGTOWN,BOGTOWN,1.0,11.0,11.0,IE,-6.3914,
1522,220.0,-6.426741,53.4167869,1.06158,PQ,,0,CLONEE,CLONEE,1.0,11.0,11.0,IE,-2.5325,exact
1531,110.0,,,1.05528,PQ,,0,BALLYADAM,BALLYADAM,1.0,9.0,9.0,IE,7.2996,
1541,110.0,-6.2725523,52.6502648,1.06888,PQ,,0,BANOGE,BANOGE,1.0,9.0,9.0,IE,-3.7336,exact
1551,110.0,-8.9086408,52.0384891,1.0654,PQ,,0,BOGGERAGH,BOGGERAGH,1.0,5.0,5.0,IE,5.8063,exact
1561,110.0,-6.4525519,53.32992,1.05441,PQ,,0,COOLDERRIG,COOLDERRIG,1.0,11.0,11.0,IE,-9.3056,exact
1571,110.0,-8.2688178,55.0566404,1.07477,PQ,,0,ARDNAGAPPARY,ARDNAGAPPARY,1.0,1.0,1.0,IE,-21.563,exact
1581,110.0,-6.3003671,53.372675,1.0571,PQ,,0,CABRA,CABRA,1.0,11.0,11.0,IE,-5.451,exact
1601,110.0,-8.9141082,51.938191,1.06459,PQ,,0,CLASHAVOON,CLASHAVOON,1.0,5.0,5.0,IE,5.8151,exact
1602,220.0,-8.9141082,51.938191,1.06091,PQ,,0,CLASHAVOON,CLASHAVOON,1.0,5.0,5.0,IE,7.3633,exact
1611,110.0,-9.2997624,51.9841297,1.06735,PQ,,0,CLONKEEN,CLONKEEN,1.0,5.0,5.0,IE,3.1422,exact
1621,110.0,-8.6360252,51.8859966,1.05936,PQ,,0,COOLROE,COOLROE,1.0,10.0,10.0,IE,6.0046,exact
1631,110.0,-8.197639,54.1988681,1.11803,PQ,,0,CORDERRY,CORDERRY,1.0,1.0,1.0,IE,-13.6194,exact
1641,110.0,-8.8534296,53.3081124,1.12804,PQ,,0,CASHLA,CASHLA,1.0,2.0,2.0,IE,-4.5863,exact
1642,220.0,-8.8534296,53.3081124,1.09378,PQ,,0,CASHLA,CASHLA,1.0,2.0,2.0,IE,-1.336,exact
1651,110.0,-9.548026,52.3787738,1.09572,PQ,,0,CLAHANE,CLAHANE,1.0,5.0,5.0,IE,1.3133,exact
1661,110.0,-9.2692746,53.8665266,1.17227,PQ,,0,CASTLEBAR,CASTLEBAR,1.0,2.0,2.0,IE,-13.516,exact
1671,110.0,-7.092703,53.2901576,1.06,PQ,,0,KILCUMBER,KILCUMBER,1.0,11.0,11.0,IE,-5.0502,exact
