name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
26705-26712-1,26705,26712,0.07204,0.09064,0.0012925,999.0,0.0,AC,0,RATE1,1
26705-26722-1,26705,26722,2.48952,0.7759999999999999,0.0003,999.0,0.0,AC,0,RATE1,1
27004-68566-1,27004,68566,0.001444,0.0,0.0,999.0,0.0,AC,0,RATE1,1
27204-27205-1,27204,27205,0.001444,0.0,0.0,30.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
27204-27214-1,27204,27214,4.173159999999999,3.952228,6.232686980609417e-05,30.0,10.89,AC,0,RATE1,1
27214-27224-1,27214,27224,0.099636,0.04332,8.310249307479224e-05,44.0,0.9,AC,0,RATE1,1
27302-27361-1,27302,27361,0.0004,0.0004,0.0,31.5,0.0,AC,0,"station coupler, bounded by the weaker end",1
27404-27414-1,27404,27414,2.8706720000000003,1.805,2.770083102493075e-05,40.0,8.2,AC,0,RATE1,1
27404-27424-1,27404,27424,3.5291360000000003,3.3573000000000004,2.770083102493075e-05,30.0,9.0,AC,0,RATE1,1
27432-27442-1,27432,27442,0.45519999999999994,0.2864,2.5e-05,18.0,1.3,AC,0,RATE1,1
27702-27703-1,27702,27703,0.244,0.64,3.25e-05,99.0,0.0,AC,0,RATE1,1
27712-27722-1,27712,27722,0.9103999999999999,0.572,2.5e-05,18.0,2.6,AC,0,RATE1,1
28601-28602-1,28601,28602,0.0001,0.0,0.0,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
28710-28712-1,28710,28712,0.012100000000000001,0.0,0.0,306.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
28710-51911-1,28710,51911,0.968,0.2057,0.001077685950413223,183.0,9.61,AC,0,RATE1,1
28814-28834-1,28814,28834,1.5364159999999998,0.658464,0.0012742382271468144,44.0,14.0,AC,0,RATE1,1
28824-28834-1,28824,28834,1.755904,0.752324,0.001461218836565097,44.0,16.0,AC,0,RATE1,1
31004-31014-1,31004,31014,1.6493368000000002,1.4138203999999999,0.00025554016620498614,21.0,6.15,AC,0,RATE1,1
31004-31024-1,31004,31024,1.4353360000000002,0.9025,1.3850415512465375e-05,40.0,4.1,AC,0,RATE1,1
32404-32405-1,32404,32405,0.001444,0.0,0.0,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
32504-32514-1,32504,32514,0.168948,0.0722,0.00014542936288088642,44.0,1.53,AC,0,RATE1,1
32504-32524-1,32504,32524,1.85554,0.795644,0.0015443213296398891,44.0,16.9,AC,0,RATE1,1
32554-32564-1,32554,32564,0.109744,0.047652,9.695290858725761e-05,44.0,1.0,AC,0,RATE1,1
