name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10271-1,10271,PV,21.0,0.23809523809523808,21.0,-7.0,1.0,hydro,1.0,10271.0,HY_ARDNG1,False
10272-2,10272,PV,22.0,0.22727272727272727,22.0,-7.0,1.0,hydro,1.0,10272.0,HY_ARDNG2,False
10273-3,10273,PV,19.0,0.2631578947368421,19.0,-7.0,1.0,hydro,1.0,10273.0,HY_ARDNG3,False
10274-4,10274,PV,24.0,0.20833333333333334,24.0,-7.0,1.0,hydro,1.0,10274.0,HY_ARDNG4,False
10470-1,10470,PV,456.69,0.4861065493004007,456.0,5.365,1.0,gas,90.0,10470.0,AGH_CCGT,False
10472-11,10472,PV,90.0,0.14444444444444443,90.0,1.192,1.0,unknown,60.0,10472.0,AGH_G11,False
10473-12,10473,PV,90.0,0.14444444444444443,90.0,1.192,1.0,unknown,60.0,10473.0,AGH_G12,False
10474-14,10474,PV,90.0,0.14444444444444443,90.0,1.192,1.0,unknown,60.0,10474.0,AGH_G14,False
12101-XX,12101,PV,100.0,0.0,0.0,-82.183,1.0,unknown,60.0,12101.0,BALLYVOUSKIL,False
13271-1,13271,PV,4.999,0.40008001600320064,4.0,-0.812,1.0,unknown,60.0,13271.0,BLAKE,False
13434-10,13434,PV,4.3,0.0,4.3,-0.873,1.0,hydro,1.0,13434.0,HY_GLENTIES,False
16873-3,16873,PV,8.0,0.25,8.0,-1.0,1.0,hydro,1.0,16873.0,HY_CDRDG3,False
17073-3,17073,PV,22.5,0.2222222222222222,22.0,-25.0,1.0,hydro,1.0,17073.0,HY_CATHG3,False
17074-4,17074,PV,23.0,0.21739130434782608,23.0,-25.0,1.0,hydro,1.0,17074.0,HY_CATHG4,False
17671-1,17671,PV,10.0,0.3,10.0,-3.0,1.0,hydro,1.0,17671.0,HY_CLIFG1,False
17672-2,17672,PV,10.0,0.3,10.0,-3.0,1.0,hydro,1.0,17672.0,HY_CLIFG2,False
19317-XX,19317,PV,6.0,0.0,0.0,0.0,1.0,unknown,60.0,19317.0,CUNG_SCOM,False
19471-1,19471,PV,122.5,0.4897959183673469,122.0,-11.2,1.0,unknown,60.0,19471.0,CUSHALING,False
20771-1,20771,PV,274.0,0.21897810218978103,274.0,-112.0,1.0,unknown,60.0,20771.0,KILSHANE,False
27361-XX,27361,PV,12.3,0.0,0.0,0.0,1.0,unknown,60.0,27361.0,GAE_SCOM,False
27474-1,27474,PV,464.5,0.5059203444564048,464.5,67.292,1.0,gas,90.0,27474.0,GI CCGT,False
28571-1,28571,PV,444.0,0.24797297297297297,444.0,-17.683,1.0,unknown,60.0,28571.0,WHITEGATE,False
29671-ST,29671,PV,123.0,0.3252032520325203,123.0,0.642,1.0,unknown,60.0,29671.0,HUNT_ST,False
29672-CT,29672,PV,229.2,0.6020942408376964,229.0,1.086,1.0,unknown,60.0,29672.0,HUNT_CT,False
29673-2,29673,PV,400.0,0.485,400.0,1.53,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,False
30671-1,30671,PV,15.0,0.26666666666666666,15.0,-4.0,1.0,hydro,1.0,30671.0,HY_INISG1,False
31271-1,31271,PV,403.9,0.4035652389205249,403.9,-35.202,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,False
32508-XX,32508,PV,10.0,0.0,0.0,0.0,1.0,wind,0.0,32508.0,W_KNOCKNAGOU,False
33361-XX,33361,PV,100.0,0.0,0.0,-93.355,1.0,unknown,60.0,33361.0,STATCOM BALL,False
38274-1,38274,PV,3.9,0.0,0.468,-0.095,1.0,unknown,60.0,38274.0,BIO_BAILLE F,False
39471-1,39471,PV,234.0,0.2564102564102564,234.0,-70.944,1.0,unknown,60.0,39471.0,MNYPG1,False
39472-2,39472,PV,234.0,0.2564102564102564,234.0,-70.944,1.0,unknown,60.0,39472.0,MNYPG2-P,False
