name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,geocode_method
89515,110.0,-7.4307015,54.8524826,1.07246,PQ,,0,STRA_PST,STRA,1.0,14.0,14.0,NI,-13.1582,coupled
89516,110.0,-7.4307015,54.8524826,1.07165,PQ,,0,STRA_PST,STRA,1.0,14.0,14.0,NI,-12.7818,coupled
89517,110.0,-7.4307015,54.8524826,1.07246,PQ,,0,STRABANE ZER,STRABANE ZER,1.0,14.0,14.0,NI,-13.1582,coupled
90011,110.0,-6.425216,54.3700948,1.05942,PQ,,0,TAND1A,TAND1,1.0,13.0,13.0,NI,-4.4385,coupled
90012,110.0,-6.425216,54.3700948,1.05942,PQ,,0,TAND1B,TAND1,1.0,13.0,13.0,NI,-4.4385,coupled
90020,275.0,-6.425216,54.3700948,1.03894,PQ,,0,TANDRAGEE,TANDRAGEE,1.0,13.0,13.0,NI,-3.6924,exact
90210,110.0,,,1.06342,PQ,,0,TREM,TREM,1.0,14.0,14.0,NI,-3.8503,
90310,110.0,-6.6816791,54.5119455,1.05716,PQ,,0,TAMNAMOR,TAMNAMOR,1.0,13.0,13.0,NI,-3.9666,prefix
90320,275.0,-6.6816791,54.5119455,1.04212,PQ,,0,TAMNAMOR,TAMNAMOR,1.0,13.0,13.0,NI,-3.3568,prefix
90511,110.0,-6.3078693,54.450423,1.05774,PQ,,0,WARN1A,WARN1,1.0,13.0,13.0,NI,-4.6368,ni-code
90512,110.0,-6.3078693,54.450423,1.05774,PQ,,0,WARN1B,WARN1,1.0,13.0,13.0,NI,-4.6363,ni-code
star:1072-1041-10421-2,220.0,,,1.01031,PQ,,0,star of 1072-1041-10421-2,STAR,1.0,,,--,14.9557,
star:1122-1121-11221-1,220.0,,,1.0191,PQ,,0,star of 1122-1121-11221-1,STAR,1.0,,,--,-0.9027,
star:1122-1121-11222-2,220.0,,,1.02032,PQ,,0,star of 1122-1121-11222-2,STAR,1.0,,,--,-0.8701,
star:1212-1211-12121-1,220.0,,,1.06503,PQ,,0,star of 1212-1211-12121-1,STAR,1.0,,,--,10.7269,
star:1212-12111-12122-2,220.0,,,1.06503,PQ,,0,star of 1212-12111-12122-2,STAR,1.0,,,--,10.7269,
star:1472-1471-14721-1,220.0,,,1.00581,PQ,,0,star of 1472-1471-14721-1,STAR,1.0,,,--,-8.3779,
star:1602-1601-16022-1,220.0,,,1.03139,PQ,,0,star of 1602-1601-16022-1,STAR,1.0,,,--,11.2715,
star:1602-16011-16021-1,220.0,,,1.03139,PQ,,0,star of 1602-16011-16021-1,STAR,1.0,,,--,11.2715,
star:1642-1641-16421-1,220.0,,,1.0552,PQ,,0,star of 1642-1641-16421-1,STAR,1.0,,,--,2.1617,
star:1642-1641-16422-2,220.0,,,1.0552,PQ,,0,star of 1642-1641-16422-2,STAR,1.0,,,--,2.1617,
star:1642-16411-16424-4,220.0,,,1.05727,PQ,,0,star of 1642-16411-16424-4,STAR,1.0,,,--,1.9943,
star:1742-1741-17421-1,220.0,,,1.01354,PQ,,0,star of 1742-1741-17421-1,STAR,1.0,,,--,-4.0602,
star:1742-1741-17422-2,220.0,,,1.01354,PQ,,0,star of 1742-1741-17422-2,STAR,1.0,,,--,-4.0602,
star:1742-17411-17423-3,220.0,,,1.0098,PQ,,0,star of 1742-17411-17423-3,STAR,1.0,,,--,-4.0398,
star:1742-17411-17424-4,220.0,,,1.00983,PQ,,0,star of 1742-17411-17424-4,STAR,1.0,,,--,-4.0363,
star:2002-2001-20021-1,220.0,,,1.00853,PQ,,0,star of 2002-2001-20021-1,STAR,1.0,,,--,7.1296,
star:2042-2041-20421-1,220.0,,,1.01587,PQ,,0,star of 2042-2041-20421-1,STAR,1.0,,,--,-6.8896,
star:2042-20416-20424-4,220.0,,,1.01566,PQ,,0,star of 2042-20416-20424-4,STAR,1.0,,,--,-4.5497,
star:2052-2041-20422-2,220.0,,,1.01592,PQ,,0,star of 2052-2041-20422-2,STAR,1.0,,,--,-6.8847,
star:2204-2202-22021-1,380.0,,,1.00836,PQ,,0,star of 2204-2202-22021-1,STAR,1.0,,,--,-0.3624,
star:2204-2202-22022-2,380.0,,,1.00784,PQ,,0,star of 2204-2202-22022-2,STAR,1.0,,,--,-0.1915,
star:2522-2521-25221-1,220.0,,,1.05371,PQ,,0,star of 2522-2521-25221-1,STAR,1.0,,,--,-4.0129,
star:2522-2521-25222-2,220.0,,,1.05378,PQ,,0,star of 2522-2521-25222-2,STAR,1.0,,,--,-4.0196,
star:2562-2561-25621-1,220.0,,,1.02453,PQ,,0,star of 2562-2561-25621-1,STAR,1.0,,,--,-5.7626,
star:2562-2571-25622-2,220.0,,,1.02965,PQ,,0,star of 2562-2571-25622-2,STAR,1.0,,,--,-6.5669,
star:2563-2561-25624-4,220.0,,,1.02452,PQ,,0,star of 2563-2561-25624-4,STAR,1.0,,,--,-5.7577,
star:2563-2571-25625-5,220.0,,,1.02966,PQ,,0,star of 2563-2571-25625-5,STAR,1.0,,,--,-6.561,
star:2742-2741-27421-1,220.0,,,1.00989,PQ,,0,star of 2742-2741-27421-1,STAR,1.0,,,--,5.961,
star:2742-2741-27422-2,220.0,,,1.00984,PQ,,0,star of 2742-2741-27422-2,STAR,1.0,,,--,5.9782,
star:2842-2841-28421-1,220.0,,,1.03089,PQ,,0,star of 2842-2841-28421-1,STAR,1.0,,,--,-6.3758,
star:3082-3081-30822-2,220.0,,,1.02264,PQ,,0,star of 3082-3081-30822-2,STAR,1.0,,,--,-5.7102,
star:3082-3091-30824-4,220.0,,,1.02124,PQ,,0,star of 3082-3091-30824-4,STAR,1.0,,,--,-6.3369,
star:3192-3191-31922-1,220.0,,,1.04504,PQ,,0,star of 3192-3191-31922-1,STAR,1.0,,,--,7.9291,
star:3192-31911-31927-2,220.0,,,1.04504,PQ,,0,star of 3192-31911-31927-2,STAR,1.0,,,--,7.9291,
star:3202-3201-32021-1,220.0,,,1.01116,PQ,,0,star of 3202-3201-32021-1,STAR,1.0,,,--,13.2539,
star:3203-3209-32022-2,220.0,,,1.01116,PQ,,0,star of 3203-3209-32022-2,STAR,1.0,,,--,13.2503,
